Symbol,Degree,Betweenness,Closeness,Eigenvector,Log2FC,n_cancers,cancers
CDK1,118,0.00324109614081887,0.321561338289963,1,-0.381338854238359,3,colorectal|esophagus|kidney
BUB1,108,0.00340507538520082,0.318600368324125,0.966467587807836,0.0692004671671995,3,colorectal|esophagus|kidney
TOP2A,108,0.00198902340122632,0.318600368324125,0.971474561143807,0.011490651043307,3,colorectal|esophagus|kidney
CDC20,106,0.00175202356716701,0.318014705882353,0.949431442881388,-0.278242644796437,3,colorectal|esophagus|kidney
DLGAP5,104,0.00135701728074787,0.316849816849817,0.967569393196209,0.156049310264908,3,colorectal|esophagus|kidney
CCNB1,102,0.00168951062463533,0.316849816849817,0.938156263333984,-0.416545647069521,3,colorectal|esophagus|kidney
NUF2,102,0.00169525330109218,0.31511839708561,0.937068890122576,-0.172436099125342,3,colorectal|esophagus|kidney
BIRC5,102,0.0010472212786454,0.316270566727605,0.946999604076906,-0.142691727984093,3,colorectal|esophagus|kidney
ASPM,98,0.00332359458588565,0.31511839708561,0.924070469602906,0.159936019918199,3,colorectal|esophagus|kidney
BUB1B,98,0.00120631449057431,0.315693430656934,0.93594376310078,-0.0487627703759156,3,colorectal|esophagus|kidney
MELK,98,0.000904019382052382,0.31511839708561,0.931698597955016,0.0487300855038019,3,colorectal|esophagus|kidney
KIF20A,96,0.00295496566479694,0.314545454545455,0.905338540143426,-0.223145864663277,3,colorectal|esophagus|kidney
PLK1,94,0.00300795439859193,0.314545454545455,0.861941296480323,-0.437478983588067,3,colorectal|esophagus|kidney
CDC45,94,0.00266327481250311,0.311711711711712,0.815223463127704,-0.168008044746121,3,colorectal|esophagus|kidney
NUSAP1,94,0.000824653789612557,0.313974591651543,0.919101247633461,-0.0192986442281233,3,colorectal|esophagus|kidney
KIF2C,92,0.000480409505116289,0.313405797101449,0.913190432009453,-0.38087593983128,3,colorectal|esophagus|kidney
TPX2,92,0.000887529756497385,0.313405797101449,0.901676451974318,-0.201315181613266,3,colorectal|esophagus|kidney
UBE2C,90,0.000580772666500348,0.312274368231047,0.872139549330623,-0.268421613141462,3,colorectal|esophagus|kidney
