Symbol,Module,N_Cancers,Degree,Log2FC
PLPP4,1,4,2,-1.23696817144072
LIPG,1,3,2,-1.3231686059918
HILPDA,2,4,0,1.07252598651858
ECRG4,3,4,0,0.925720980026956
INHBA,4,4,4,-0.908319923616144
ACVR1C,4,3,4,-0.492405594318804
INHBB,4,3,4,0.0102261468490467
ESM1,5,4,0,-0.89560862329169
MT1H,6,4,6,-0.884390718331756
MT1M,6,3,6,0.823968569082521
MT1X,6,3,6,-0.557067711279499
MT1G,6,3,6,-0.345904088623391
FN1,7,3,64,0.713039982957116
COL1A1,7,4,52,-0.24132960603813
COL1A2,7,4,42,-0.213468700311154
MMP9,7,4,34,0.0813498091871258
COL5A1,7,3,34,0.208986736783645
COL3A1,7,3,34,-0.0354504512773447
COL5A2,7,4,30,-0.0707454501740771
LUM,7,3,30,-0.811194157541154
COL4A1,7,3,28,-0.65937313921611
CXCL10,7,3,28,-0.367207465330232
BGN,7,3,26,-0.90346946242372
THBS2,7,3,26,-0.638267933312535
COL4A2,7,3,22,0.10554171107504
SERPINH1,7,4,20,-0.0901274612999655
COL11A1,7,3,20,-3.01925642764097
COL12A1,7,3,20,-0.851865298868254
ACAN,7,3,18,-1.10192333621238
ITGA11,7,3,18,-0.36146124744964
SPARC,7,4,16,-0.0748041366296751
TIMP1,7,4,16,0.0544448660713101
MMP3,7,3,16,-2.80362359182596
FCGR3A,7,3,16,-0.378444059889372
ADAMTS2,7,3,12,-0.950897336664947
SNAI1,7,3,12,-0.694099040330314
CD80,7,3,12,0.597733167078979
FCER1G,7,3,12,0.556115086481289
ANPEP,7,3,12,-0.155625152072458
TGFBI,7,4,10,0.0548601057777803
FCGR3B,7,3,10,-0.837395912809679
COL8A1,7,3,10,-0.679317065147091
CXCL11,7,3,10,-0.65318664977981
GZMB,7,3,10,-0.317009256344627
CXCL9,7,3,10,-0.135968566493828
MMP10,7,3,8,-2.8161269509593
MMP13,7,3,8,-2.00761685848137
SERPINE1,7,3,8,-0.911286446884938
THY1,7,3,8,-0.875274031656285
CCL20,7,3,8,0.827201415498555
OASL,7,3,8,0.669425889338044
GPX3,7,3,8,0.48294030001397
ISG15,7,3,8,0.47603207351733
MET,7,3,8,-0.417543107981911
TREM1,7,4,6,-0.449330175845131
FKBP10,7,4,6,-0.120878484457319
MS4A2,7,3,6,1.50907975612699
LILRA4,7,3,6,1.44064776274034
TLR3,7,3,6,1.2058973871988
IGFBP3,7,3,6,0.997749896099488
SAA1,7,3,6,0.943625544702906
PGF,7,3,6,0.757167965318793
PRELP,7,3,6,0.555086955373537
CCL3L3,7,3,6,-0.520168050448171
GGT6,7,3,6,-0.450282139409078
CHAC1,7,3,6,-0.1154633596442
TNFAIP6,7,3,6,0.0163422263256615
PXDN,7,3,6,-0.0051460197065761
MMP11,7,4,4,-0.755555931406987
DPT,7,3,4,0.834994236901918
FPR1,7,3,4,-0.595809753510969
CLEC5A,7,3,4,-0.553725519442445
TWIST1,7,3,4,-0.493771070954475
IFI6,7,3,4,-0.352298208419264
LOXL2,7,3,4,-0.306249549613698
ZNF469,7,4,2,-0.165638932350169
SELE,7,3,2,-1.5727138080257
AQP9,7,3,2,-1.41566703369318
CTHRC1,7,3,2,-1.22578279832739
FAP,7,3,2,-1.04341558006126
SCIN,7,3,2,0.884573362085453
P4HA3,7,3,2,-0.849820237881725
MSX2,7,3,2,-0.81094622063206
CCN4,7,3,2,-0.722106138451533
SULT1B1,7,3,2,0.691851439108939
SULF1,7,3,2,-0.665920484467502
CHAD,7,3,2,-0.644876368813501
CLEC4E,7,3,2,-0.45918614413546
RELN,7,3,2,0.413435439248685
CCL4L2,7,3,2,-0.301446668234426
CCBE1,7,3,2,0.228359334263023
ADAMTS12,8,4,0,-0.65389604401478
CDK1,9,3,118,-0.381338854238359
BUB1,9,3,108,0.0692004671671995
TOP2A,9,3,108,0.011490651043307
CDC20,9,3,106,-0.278242644796437
DLGAP5,9,3,104,0.156049310264908
CCNB1,9,3,102,-0.416545647069521
NUF2,9,3,102,-0.172436099125342
BIRC5,9,3,102,-0.142691727984093
ASPM,9,3,98,0.159936019918199
BUB1B,9,3,98,-0.0487627703759156
MELK,9,3,98,0.0487300855038019
KIF20A,9,3,96,-0.223145864663277
PLK1,9,3,94,-0.437478983588067
NUSAP1,9,3,94,-0.0192986442281233
KIF2C,9,3,92,-0.38087593983128
TPX2,9,3,92,-0.201315181613266
UBE2C,9,3,90,-0.268421613141462
CEP55,9,3,90,-0.160152734649406
KIF4A,9,3,90,-0.0853118711630108
CENPF,9,3,90,0.000129621972660384
TTK,9,3,88,-0.0455768378023331
MAD2L1,9,3,86,-0.378602141847004
HJURP,9,3,84,-0.102245321651869
AURKA,9,3,82,-0.627417318028437
FOXM1,9,3,80,-0.464512366841182
CDCA5,9,3,78,-0.362889087735232
HMMR,9,3,78,-0.342530713566031
MKI67,9,3,78,0.165774844942655
NEK2,9,3,74,-0.238075311765523
KIF14,9,4,70,0.22416154494495
KIFC1,9,3,68,-0.0756358971023182
ANLN,9,3,68,-0.0562845865650181
TRIP13,9,3,64,-0.764290440213052
CDKN3,9,3,62,-0.332378201181791
NCAPH,9,3,62,-0.120789069585289
ECT2,9,3,56,-0.698550668350226
KIF18A,9,3,52,-0.313894707771184
CKAP2L,9,4,46,0.589081140264167
CKS2,9,3,40,-0.444137342455759
TROAP,9,3,40,-0.0763030603783928
KIF18B,9,3,40,0.00406559385233115
MYBL2,9,3,36,-0.30676151570383
UBE2T,9,3,34,-0.483967277575827
GTSE1,9,3,32,-0.282300608788862
ERCC6L,9,3,32,-0.249249143326126
KPNA2,9,3,26,-0.474454593664313
CENPI,9,3,24,-0.197485222727238
UHRF1,9,3,22,0.00714260550223759
PKMYT1,9,3,16,-0.133020703641846
IQGAP3,9,3,6,-0.195895534184904
RPS6KA6,9,3,4,0.460253343011354
CDKN2B,9,3,2,1.75817072827777
IGF2BP3,9,3,2,-0.540340777738813
CIP2A,9,3,2,-0.447785088811744
DDIAS,9,3,2,-0.393051970200749
