Symbol,n_cancers_hub,mean_degree,mean_lfc,cancer_list
MMP9,4,80.5,0.081349809187125,colorectal|esophagus|kidney|pancreatic
COL1A1,4,78.5,-0.24132960603813,colorectal|esophagus|kidney|pancreatic
COL1A2,4,62,-0.213468700311152,colorectal|esophagus|kidney|pancreatic
CDK1,3,208.666666666667,-0.38133885423836,colorectal|esophagus|kidney
CCNB1,3,171.333333333333,-0.416545647069523,colorectal|esophagus|kidney
BUB1,3,168.666666666667,0.0692004671672,colorectal|esophagus|kidney
CDC20,3,167.333333333333,-0.278242644796437,colorectal|esophagus|kidney
BUB1B,3,162,-0.0487627703759167,colorectal|esophagus|kidney
PLK1,3,158.666666666667,-0.437478983588063,colorectal|esophagus|kidney
TOP2A,3,155.333333333333,0.0114906510433067,colorectal|esophagus|kidney
DLGAP5,3,152,0.156049310264907,colorectal|esophagus|kidney
NUF2,3,151.333333333333,-0.172436099125343,colorectal|esophagus|kidney
BIRC5,3,148.666666666667,-0.142691727984093,colorectal|esophagus|kidney
CDC45,3,146,-0.16800804474612,colorectal|esophagus|kidney
KIF20A,3,145.333333333333,-0.223145864663277,colorectal|esophagus|kidney
FN1,3,138.666666666667,0.713039982957117,esophagus|kidney|pancreatic
MELK,3,138.666666666667,0.0487300855038033,colorectal|esophagus|kidney
KIF2C,3,136,-0.380875939831283,colorectal|esophagus|kidney
ASPM,3,135.333333333333,0.1599360199182,colorectal|esophagus|kidney
CENPF,3,134,0.000129621972656757,colorectal|esophagus|kidney
TPX2,3,134,-0.201315181613267,colorectal|esophagus|kidney
MAD2L1,3,132,-0.378602141847003,colorectal|esophagus|kidney
TTK,3,130.666666666667,-0.0455768378023334,colorectal|esophagus|kidney
CEP55,3,130,-0.160152734649407,colorectal|esophagus|kidney
KIF4A,3,130,-0.0853118711630099,colorectal|esophagus|kidney
RRM2,3,130,-0.161254876800357,colorectal|esophagus|kidney
NUSAP1,3,128.666666666667,-0.0192986442281233,colorectal|esophagus|kidney
UBE2C,3,127.333333333333,-0.268421613141463,colorectal|esophagus|kidney
HJURP,3,126,-0.10224532165187,colorectal|esophagus|kidney
AURKA,3,123.333333333333,-0.627417318028437,colorectal|esophagus|kidney
EXO1,3,123.333333333333,-0.274266783529747,colorectal|esophagus|kidney
HMMR,3,117.333333333333,-0.34253071356603,colorectal|esophagus|kidney
CDCA5,3,111.333333333333,-0.36288908773523,colorectal|esophagus|kidney
FOXM1,3,110.666666666667,-0.46451236684118,colorectal|esophagus|kidney
MKI67,3,109.333333333333,0.165774844942653,colorectal|esophagus|kidney
NEK2,3,107.333333333333,-0.238075311765523,colorectal|esophagus|kidney
MCM10,3,103.333333333333,-0.279689199162503,colorectal|esophagus|kidney
KIF14,3,100,-0.266344522674307,colorectal|esophagus|kidney
CDC6,3,97.3333333333333,-0.29836950520269,colorectal|esophagus|kidney
KIFC1,3,90,-0.0756358971023166,colorectal|esophagus|kidney
CXCL10,3,89.3333333333333,-0.36720746533023,colorectal|esophagus|kidney
NCAPH,3,89.3333333333333,-0.12078906958529,colorectal|esophagus|kidney
CDKN3,3,85.3333333333333,-0.33237820118179,colorectal|esophagus|kidney
ANLN,3,84.6666666666667,-0.0562845865650166,colorectal|esophagus|kidney
KIF18A,3,84,-0.313894707771183,colorectal|esophagus|kidney
TRIP13,3,82.6666666666667,-0.764290440213053,colorectal|esophagus|kidney
FCGR3A,3,79.3333333333333,-0.378444059889373,colorectal|esophagus|kidney
CDT1,3,76.6666666666667,-0.112913589348253,colorectal|esophagus|kidney
ECT2,3,73.3333333333333,-0.698550668350227,colorectal|esophagus|kidney
RAD51AP1,3,70.6666666666667,-0.360717549672757,colorectal|esophagus|kidney
CXCL9,3,67.3333333333333,-0.135968566493827,colorectal|esophagus|kidney
DTL,3,64,0.03986222078068,colorectal|esophagus|kidney
FCGR3B,3,62,-0.83739591280968,colorectal|esophagus|kidney
CYP3A4,3,60,0.562497703526703,colorectal|esophagus|kidney
MCM2,3,60,-0.55423024586232,colorectal|esophagus|kidney
CKAP2L,3,59.3333333333333,0.0645924910910033,colorectal|esophagus|kidney
ASF1B,3,54.6666666666667,0.05293193126434,colorectal|esophagus|kidney
COL3A1,3,52.6666666666667,-0.0354504512773433,esophagus|kidney|pancreatic
TROAP,3,52.6666666666667,-0.0763030603783934,colorectal|esophagus|kidney
CXCL11,3,52,-0.65318664977981,colorectal|esophagus|kidney
KIF18B,3,51.3333333333333,0.00406559385233004,colorectal|esophagus|kidney
GZMB,3,50.6666666666667,-0.317009256344627,colorectal|esophagus|kidney
E2F1,3,50,-0.06150166893332,colorectal|esophagus|kidney
CENPI,3,49.3333333333333,-0.19748522272724,colorectal|esophagus|kidney
MND1,3,49.3333333333333,-0.160358030650177,colorectal|esophagus|kidney
COL4A1,3,48,-0.65937313921611,colorectal|esophagus|kidney
UBE2T,3,48,-0.483967277575827,colorectal|esophagus|kidney
COL5A1,3,46,0.208986736783643,esophagus|kidney|pancreatic
MYBL2,3,46,-0.306761515703827,colorectal|esophagus|kidney
LUM,3,44,-0.811194157541157,esophagus|kidney|pancreatic
ACAN,3,43.3333333333333,-1.10192333621238,colorectal|esophagus|kidney
ERCC6L,3,42,-0.249249143326127,colorectal|esophagus|kidney
FCER1G,3,41.3333333333333,0.55611508648129,esophagus|kidney|pancreatic
COL4A2,3,40.6666666666667,0.10554171107504,esophagus|kidney|pancreatic
GTSE1,3,40.6666666666667,-0.282300608788863,colorectal|esophagus|kidney
MET,3,39.3333333333333,-0.417543107981913,colorectal|esophagus|kidney
BGN,3,38,-0.903469462423723,colorectal|esophagus|pancreatic
COL5A2,3,38,-0.599677955586447,colorectal|esophagus|pancreatic
UHRF1,3,38,0.00714260550224003,colorectal|esophagus|kidney
TIMP1,3,33.3333333333333,-0.410725654081207,colorectal|esophagus|pancreatic
THBS2,3,32.6666666666667,-0.638267933312533,colorectal|esophagus|pancreatic
ITGA11,3,32,-0.361461247449637,colorectal|esophagus|pancreatic
MMP3,3,30,-2.80362359182596,colorectal|esophagus|pancreatic
CCNB2,2,165,0.313801421425635,esophagus|kidney
AURKB,2,163,0.535144391043345,esophagus|kidney
CDCA8,2,157,0.24519427698553,esophagus|kidney
CD44,2,155,0.12106577654861,colorectal|kidney
PBK,2,147,0.519466887722585,esophagus|kidney
CENPE,2,134,0.50800257364368,esophagus|kidney
CENPA,2,127,-1.45034656661357,colorectal|esophagus
ZWINT,2,124,-0.01431353493729,esophagus|kidney
NDC80,2,120,0.248513773794265,esophagus|kidney
PRC1,2,116,0.18090218295905,esophagus|kidney
KIF23,2,113,-1.14733050837517,colorectal|esophagus
CXCL8,2,108,-3.39089162345858,colorectal|esophagus
ESPL1,2,108,-0.0115401110833949,colorectal|esophagus
CDCA3,2,106,-1.31027380712616,colorectal|esophagus
CCL5,2,105,1.72288939222523,colorectal|kidney
CXCR4,2,102,0.638585543496795,esophagus|kidney
MYC,2,102,-0.17673725850207,colorectal|kidney
RACGAP1,2,101,0.010157672553375,colorectal|kidney
RAD51,2,100,0.19190499800477,esophagus|kidney
EGF,2,99,-2.33476851051397,esophagus|kidney
SPAG5,2,98,-1.44887753312462,esophagus|kidney
BRCA1,2,96,0.0507855278677599,esophagus|kidney
