"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","cancer"
"HSD17B8","HSD17B8","97/774","672/27022",0.144345238095238,5.03940183954719,18.2089316639468,2.68543296988012e-40,8.29798787692957e-38,7.94322804775067e-38,"C9orf43/KPNA2/MCM10/SHCBP1/FEN1/CDC6/KIFC1/ASF1B/HJURP/IQGAP3/RRM2/CENPW/UBE2C/CDC25A/ATAD2/NCAPH/BIRC5/TRIP13/GINS1/MYBL2/NCAPG2/CDCA3/TMEM97/KIF20A/RNASEH2A/CENPA/CEP55/KIF2C/RAD54L/CMSS1/ANLN/RFC3/DTL/CENPI/ESPL1/LGR5/EXO1/MKI67/DIAPH3/XRCC2/KIF23/MAD2L1/GINS2/TICRR/MELK/CDCA5/KIF18B/GTSE1/IER5L/UHRF1/DDIAS/CDKN3/CDCA7/VSNL1/UBE2T/ZNF695/NEK2/DNMT3B/SKA3/FOXM1/TROAP/WDR62/RAD51AP1/TEDC2/E2F1/BUB1/PTTG1/CENPF/ECT2/BUB1B/CDC20/PRR11/CKAP2L/ERCC6L/BRCA2/TOP2A/CIP2A/FADS2/NUF2/PLK1/PARPBP/MTFR2/KIF14/CDK1/HMMR/MTBP/CCDC150/RECQL4/MND1/DLGAP5/ASPM/FAM83D/PITX1/FANCB/H2AC16/TTK/DKK2",97,"colorectal"
"IGLV5_37","IGLV5_37","41/774","653/27022",0.0627871362940276,2.19203358777418,5.29506546153953,2.72627700793293e-06,0.000421209797725638,0.000403202020646923,"CELSR1/ENC1/ETV4/LARGE2/AHCY/INHBA/MYC/TGFBI/SHH/HECW2/CDCA7/TIMP1/WDR62/WNT5A/ADAMTS6/LRRC15/SALL4/HES6/MYEOV/MFAP2/MYOM3/GNG4/VGF/IL11/PALD1/COL7A1/TCF7/MTBP/FSCN1/NOTUM/GRHL3/VENTX/TP73/TAFA5/S100A2/CITED1/HPN/PADI1/IL6/TNNT1/COLEC10",41,"colorectal"
"LHX3","LHX3","8/774","37/27022",0.216216216216216,7.5485718276416,6.84477736347146,8.08014150333724e-06,0.000832254574843735,0.000796673600855356,"ENC1/SLC7A11/F12/HOXB8/TOP2A/H2BC17/H3C12/H2AC4",8,"colorectal"
"ZNF436","ZNF436","31/774","515/27022",0.0601941747572816,2.1015077393944,4.3339506202779,9.5833030773786e-05,0.00636942880271812,0.0060971197191749,"AURKA/ETV4/DNAH2/LRP8/DPF1/FUT1/TMEM132A/PKMYT1/SLC4A11/GALNT6/FBXO2/HAGHL/SAXO5/BMP7/FADS1/OSM/SPOCD1/MDFI/LZTS3/MLXIPL/BRCA2/S100A9/CCDC78/SLC2A1/NKPD1/FSCN1/REEP6/AMBP/PPP2R2C/PACSIN3/ANKRD18B",31,"colorectal"
"PSMB5","PSMB5","22/774","311/27022",0.0707395498392283,2.46966940020107,4.47638934269298,0.000103065190982494,0.00636942880271812,0.0060971197191749,"PMAIP1/ASF1B/RRM2/CD44/CDC25B/UBE2S/ANLN/IER5L/CKS2/PHLDA2/STC2/TUBB3/TWIST1/COL1A1/SERPINE1/H2BC17/FSCN1/H3C12/DDIT4/H2AC12/H2BC10/H2AC16",22,"colorectal"
"MED25","MED25","13/774","142/27022",0.0915492957746479,3.19618226152782,4.50579054989403,0.000231690727658483,0.0119320724744119,0.0114219463986024,"CXCL8/TRIB3/KRT7/BHLHE40/SSTR5/PLAU/MYEOV/STX1A/H2BC17/H3C12/DDIT4/CLDN14/S100A2",13,"colorectal"
"ZSCAN2","ZSCAN2","45/774","921/27022",0.0488599348534202,1.70580511577406,3.74247686230766,0.000387851775893551,0.0171208855358725,0.0163889246655771,"ACSL6/C4BPB/MATCAP2/CFAP45/CELSR1/C9orf43/IL1RN/ETV4/LAPTM4B/NME1/GDF15/SLCO4A1/CENPA/RNF43/TGFBI/MACC1/AGT/EXOSC5/CMSS1/CENPI/NKD1/HSPH1/SLC5A6/VSNL1/NEK2/DNMT3B/STC2/CCNO/RAD51AP1/SP5/CFB/NR0B2/F2/TOP2A/CCDC150/H2BC17/ASGR1/DHRS2/H3C12/SPHK1/AMBP/HPN/CCL20/SERPINA10/VTN",45,"colorectal"
"ATXN7L3","ATXN7L3","36/774","692/27022",0.0520231213872832,1.81623874176637,3.73523475796638,0.000473597238080392,0.0182926933208551,0.0175106347237619,"MET/PSAT1/HMGA1/CBX4/ATAD2/HSPD1/SLC7A11/RNF43/CPNE7/UBE2S/PAQR4/PRSS22/ANXA3/EREG/KIF23/PYCR1/PKMYT1/BHLHE40/CELSR3/DUSP4/IER5L/AREG/TNFRSF12A/NUDCD1/STC2/KRT23/MTHFD1L/FOSL1/CHPF/IGF2BP3/PALD1/H2BC17/NOTUM/H3C12/CCNP/H2BC26",36,"colorectal"
"GREB1","GREB1","45/774","968/27022",0.0464876033057851,1.6229819334999,3.3896043389175,0.00107917320463413,0.0370516133591051,0.0354675638014258,"MATCAP2/CFAP45/CELSR1/PPM1H/ENC1/S100A11/UBE2C/TH/TRIM29/TPD52L1/TGFBI/MACC1/KRT7/GRHL1/PRSS22/TMPRSS3/KRT80/SLC6A6/DGAT2/SSTR5/STC2/SLC29A1/ASCL2/SPNS2/SLC17A9/PRR11/SALL4/RHPN1/FAM72A/TOP2A/FAM83A/ATG9B/SEC14L2/TMPRSS13/RECQL4/FPR1/ERP27/ODAM/CCNP/S100A2/HPN/FREM2/KLK6/F7/RNF224",45,"colorectal"
"SIPA1","SIPA1","12/774","149/27022",0.0805369127516778,2.81171635190677,3.80801230138462,0.00124488228438402,0.0384668625874661,0.0368223075696746,"CXCL8/ORC1/TPX2/KIF20A/TGFBI/TGIF2/CCNF/TTYH3/ADAMTS6/HMMR/H2BC17/H3C12",12,"colorectal"
