"ID","n_cancers","cancers","mean_qval"
"IGLV5_37",4,"colorectal; esophagus; kidney; pancreatic",0.00551867655316486
"PSMB5",2,"kidney; pancreatic",0.0103965230479986
"HSD17B8",1,"kidney",2.40074538854763e-41
"GREB1",1,"esophagus",5.11669326114116e-13
"MAML1",1,"kidney",1.47117383600673e-06
"TERF1",1,"kidney",3.65786503956069e-06
"ZNF597",1,"kidney",1.81851128991513e-05
"HDGF",1,"kidney",6.72852061965948e-05
"ZNF623",1,"kidney",0.000608933587877437
"MIER1",1,"colorectal",0.00128062936547958
"SIX1",1,"colorectal",0.00128062936547958
"ZNF436",1,"kidney",0.00251879816666009
"NFXL1",1,"kidney",0.00655925998396546
"TERF2",1,"kidney",0.00755508159551956
"KMT2D",1,"esophagus",0.0141189249293313
"POU2AF1",1,"kidney",0.0167183470562556
"ADNP",1,"kidney",0.0201398047530908
"ZNF16",1,"kidney",0.0331030192443988
