"Symbol","colorectal","esophagus","kidney","liver","pancreatic","padj_colorectal","padj_esophagus","padj_kidney","padj_liver","padj_pancreatic","n_cancers"
"MAD2L1",0.73059173181541,0.972028120241368,1.57726277609185,NA,NA,0.201804699061262,0.997715338829144,1.1171669636617e-08,NA,NA,1
"CCNB1",0.725092312883219,1.09760433955057,1.80703019367809,NA,NA,0.201804699061262,0.997715338829144,6.76435974362456e-18,NA,NA,1
"HMMR",0.820638427808398,1.1670393674303,1.53059592823014,NA,NA,0.201804699061262,0.997715338829144,1.53239466918042e-15,NA,NA,1
"MCM4",0.710730420876756,NA,NA,NA,NA,0.201804699061262,NA,NA,NA,NA,NA
"CXCL1",0.861727462603503,NA,NA,NA,NA,0.201804699061262,NA,NA,NA,NA,NA
"RACGAP1",0.676469445413647,NA,1.63456924840941,NA,NA,0.201804699061262,NA,7.92499888406198e-09,NA,NA,1
"PLK1",0.736274737934599,0.989157940973878,1.7641776967068,NA,NA,0.201804699061262,0.997715338829144,1.55033896546556e-25,NA,NA,1
"PTTG1",0.759117844890241,NA,1.68995475037066,NA,NA,0.201804699061262,NA,1.51312664837543e-23,NA,NA,1
"CDC45",0.767894975120999,0.902309455406626,1.45421228916549,NA,NA,0.201804699061262,0.997715338829144,1.83291143398653e-11,NA,NA,1
"KIF20A",0.742750728037132,1.13203384206706,1.61991738332332,NA,NA,0.201804699061262,0.997715338829144,1.26533793122677e-22,NA,NA,1
"CXCL2",0.87297230670726,NA,NA,NA,NA,0.201804699061262,NA,NA,NA,NA,NA
"KIF2C",0.730055607329477,1.00734184626293,1.69180954460857,NA,NA,0.20669540129736,0.997715338829144,2.74254291296194e-22,NA,NA,1
"TTK",0.789483987852158,1.09944498042602,1.64811545178263,NA,NA,0.20669540129736,0.997715338829144,3.96495055235968e-19,NA,NA,1
"RRM2",0.754036864540009,1.20044948131764,1.61911334116522,NA,NA,0.20669540129736,0.997715338829144,1.31126472388452e-19,NA,NA,1
"BIRC5",0.766219220667591,1.03472571031586,1.58378332647427,NA,NA,0.20669540129736,0.997715338829144,9.83831882227876e-25,NA,NA,1
"ADCY5",1.09796649891375,NA,NA,NA,NA,0.20669540129736,NA,NA,NA,NA,NA
"CKAP2L",0.789499844067843,1.02442251721876,NA,NA,NA,0.20669540129736,0.997715338829144,NA,NA,NA,NA
"TPX2",0.766355717442339,1.12253883965931,1.74841599813543,NA,NA,0.20669540129736,0.997715338829144,7.59546443405363e-24,NA,NA,1
"CDC20",0.778642629417912,0.978360181519488,1.66626225027849,NA,NA,0.20669540129736,0.997715338829144,3.08790673675284e-22,NA,NA,1
"TOP2A",0.832319600444091,1.0002675238497,1.63305706871631,NA,NA,0.240106217493909,0.997715338829144,1.5106108236716e-18,NA,NA,1
"DLGAP5",0.829147241953076,1.01836404275535,1.49346899148841,NA,NA,0.240106217493909,0.997715338829144,5.96853543784309e-16,NA,NA,1
"SHCBP1",0.775012884926075,1.1787235379233,NA,NA,NA,0.242956870561045,0.997715338829144,NA,NA,NA,NA
"CDC6",0.80483297814781,1.00215805780428,1.68610803862916,NA,NA,0.24722904744722,0.997715338829144,4.25975119223713e-15,NA,NA,1
"BRCA2",0.842651289596412,NA,NA,NA,NA,0.24722904744722,NA,NA,NA,NA,NA
"BUB1",0.790195025627685,0.998338695093512,1.53872810084895,NA,NA,0.24722904744722,0.997715338829144,7.14652938872368e-18,NA,NA,1
"CXCL11",0.92319927680865,NA,NA,NA,NA,0.24722904744722,NA,NA,NA,NA,NA
"MYC",0.812020004773326,NA,1.2880473737723,NA,NA,0.24722904744722,NA,0.000118900478390361,NA,NA,1
"ECT2",0.8456336319425,1.15020047867361,NA,NA,NA,0.24722904744722,0.997715338829144,NA,NA,NA,NA
"AURKA",0.78789335598241,1.22626667538668,1.79111596073586,NA,NA,0.269909905366934,0.997715338829144,7.12368518256062e-16,NA,NA,1
"ASF1B",0.782355644554141,1.05003245012234,NA,NA,NA,0.27478729762585,0.997715338829144,NA,NA,NA,NA
"CCR8",0.907719161100672,NA,NA,NA,NA,0.277270338905734,NA,NA,NA,NA,NA
"CENPA",0.818682387420877,1.00646901391198,NA,NA,NA,0.327169601671023,0.997715338829144,NA,NA,NA,NA
"EXO1",0.826849678506095,1.076953833792,1.53307168690442,NA,NA,0.351346630450998,0.997715338829144,2.13533022252755e-15,NA,NA,1
"NCAPH",0.787857288029492,0.96659753169581,1.69992888526791,NA,NA,0.351346630450998,0.997715338829144,3.13976193432159e-19,NA,NA,1
"TRIP13",0.802968507935118,0.962015835739369,NA,NA,NA,0.367255688338824,0.997715338829144,NA,NA,NA,NA
"MELK",0.837773734747206,1.14422102301245,1.62414763067428,NA,NA,0.367255688338824,0.997715338829144,8.12628322606076e-15,NA,NA,1
"AGT",0.911463568841392,NA,NA,NA,NA,0.367255688338824,NA,NA,NA,NA,NA
"NEK2",0.832109020889047,1.14243128430382,1.61252438006779,NA,NA,0.421327235105618,0.997715338829144,2.23847239115877e-20,NA,NA,1
"IL1A",0.938891999423526,1.03415532338172,NA,NA,NA,0.435579467617398,0.997715338829144,NA,NA,NA,NA
"CCR10",1.08407299702264,NA,NA,NA,NA,0.435579467617398,NA,NA,NA,NA,NA
"CDKN3",0.868731644130342,1.30010766227971,1.64790207603145,NA,NA,0.517024603596676,0.997715338829144,2.99478336953799e-19,NA,NA,1
"RAD51AP1",0.884597316776328,1.1282699197365,NA,NA,NA,0.537567754663817,0.997715338829144,NA,NA,NA,NA
"IL6",1.05022945521338,NA,NA,NA,NA,0.545472082214749,NA,NA,NA,NA,NA
"KIF18A",0.872925587373585,1.04578012052442,1.78053044764167,NA,NA,0.545472082214749,0.997715338829144,1.19603474842086e-20,NA,NA,1
"KIF23",0.852582942188664,1.16421740846804,NA,NA,NA,0.545472082214749,0.997715338829144,NA,NA,NA,NA
"CXCL10",0.950588102817875,1.05365503291419,1.12664001073124,NA,NA,0.545472082214749,0.997715338829144,0.00010792177967899,NA,NA,1
"CD36",1.06216001895629,NA,NA,NA,NA,0.545472082214749,NA,NA,NA,NA,NA
"CEP55",0.884731541074467,0.992517441590088,1.7094082310247,NA,NA,0.545472082214749,0.997715338829144,1.10976133291755e-23,NA,NA,1
"CXCR2",0.951609131445638,NA,NA,NA,NA,0.545472082214749,NA,NA,NA,NA,NA
"CXCL5",0.965746421105617,NA,NA,NA,NA,0.545472082214749,NA,NA,NA,NA,NA
"PRKACB",0.927624699061139,NA,NA,NA,NA,0.545472082214749,NA,NA,NA,NA,NA
"KIF4A",0.862006099776913,1.35816397723481,1.64371283669918,NA,NA,0.545472082214749,0.997715338829144,4.56900286264017e-21,NA,NA,1
"CXCL12",1.07800237056662,NA,1.02987429929308,NA,NA,0.545472082214749,NA,0.534295802988097,NA,NA,NA
"CDCA5",0.855493335165341,1.00284347842874,1.7275463367668,NA,NA,0.545472082214749,0.997715338829144,3.31629847374425e-18,NA,NA,1
"CXCL9",0.957459260030786,1.05344311750119,NA,NA,NA,0.551395437244034,0.997715338829144,NA,NA,NA,NA
"FEN1",0.847473373705997,1.01333338541049,NA,NA,NA,0.551395437244034,0.997715338829144,NA,NA,NA,NA
"COL1A1",1.05823177528905,0.987461699283752,NA,NA,1.16685373219584,0.551395437244034,0.997715338829144,NA,NA,0.0468894035543521,1
"CCL20",0.945980744487326,NA,NA,NA,NA,0.551395437244034,NA,NA,NA,NA,NA
"CYP3A4",1.0454476072005,NA,NA,NA,NA,0.551395437244034,NA,NA,NA,NA,NA
"MCM2",0.870364274279415,1.0122917530336,NA,NA,NA,0.575517542822311,0.997715338829144,NA,NA,NA,NA
"KIF14",0.918266136724065,1.01083130185974,1.60048337097457,NA,NA,0.575517542822311,0.997715338829144,7.6668400508502e-22,NA,NA,1
"CDK1",0.923890806839566,1.20163421777827,1.7807743686107,NA,NA,0.628283586854809,0.997715338829144,7.18496312129534e-20,NA,NA,1
"ASPM",0.92127872500843,1.04370572744749,1.49828238327208,NA,NA,0.636101456230062,0.997715338829144,1.9883218511779e-17,NA,NA,1
