"Symbol","colorectal","esophagus","kidney","liver","pancreatic","n_cancers"
"FN1",0,0,1,0,1,2
"UBE2C",0,0,1,0,0,1
"FOXM1",0,0,1,0,0,1
"HJURP",0,0,1,0,0,1
"PLK1",0,0,1,0,0,1
"BIRC5",0,0,1,0,0,1
"TPX2",0,0,1,0,0,1
"NUF2",0,0,1,0,0,1
"CEP55",0,0,1,0,0,1
"PTTG1",0,0,1,0,0,1
"CCNB2",0,0,1,0,0,1
"AURKB",0,0,1,0,0,1
"CDCA8",0,0,1,0,0,1
"KIF20A",0,0,1,0,0,1
"KIF2C",0,0,1,0,0,1
"CDC20",0,0,1,0,0,1
"KIF14",0,0,1,0,0,1
"CCNA2",0,0,1,0,0,1
"CENPF",0,0,1,0,0,1
"PRC1",0,0,1,0,0,1
"KIF4A",0,0,1,0,0,1
"KIF18A",0,0,1,0,0,1
"NEK2",0,0,1,0,0,1
"CDK1",0,0,1,0,0,1
"RRM2",0,0,1,0,0,1
"KIFC1",0,0,1,0,0,1
"CDKN3",0,0,1,0,0,1
"NCAPH",0,0,1,0,0,1
"TTK",0,0,1,0,0,1
"TOP2A",0,0,1,0,0,1
"BUB1B",0,0,1,0,0,1
"CDCA5",0,0,1,0,0,1
"NCAPG",0,0,1,0,0,1
"CCNB1",0,0,1,0,0,1
"BUB1",0,0,1,0,0,1
"ASPM",0,0,1,0,0,1
"KIF11",0,0,1,0,0,1
"NDC80",0,0,1,0,0,1
"CENPE",0,0,1,0,0,1
"DLGAP5",0,0,1,0,0,1
"AURKA",0,0,1,0,0,1
"HMMR",0,0,1,0,0,1
"EXO1",0,0,1,0,0,1
"CDC6",0,0,1,0,0,1
"MELK",0,0,1,0,0,1
"MKI67",0,0,1,0,0,1
"KIF15",0,0,1,0,0,1
"MCM10",0,0,1,0,0,1
"NUSAP1",0,0,1,0,0,1
"PBK",0,0,1,0,0,1
"RAD51",0,0,1,0,0,1
"CDC45",0,0,1,0,0,1
"CD44",0,0,1,0,0,1
"FOXP3",0,0,1,0,0,1
"RACGAP1",0,0,1,0,0,1
"GAPDH",0,0,1,0,0,1
"MAD2L1",0,0,1,0,0,1
"TGFB1",0,0,1,0,0,1
"SPAG5",0,0,1,0,0,1
"GZMB",0,0,1,0,0,1
"CTLA4",0,0,1,0,0,1
"ZWINT",0,0,1,0,0,1
"CCL5",0,0,1,0,0,1
"CD80",0,0,1,0,0,1
"MMP9",0,0,1,0,0,1
"CXCR3",0,0,1,0,0,1
"CD27",0,0,1,0,0,1
"FCGR3A",0,0,1,0,0,1
"CXCL10",0,0,1,0,0,1
"MYC",0,0,1,0,0,1
"CXCR4",0,0,1,0,0,1
"BRCA1",0,0,1,0,0,1
"CD8A",0,0,1,0,0,1
"CD3E",0,0,1,0,0,1
"CD247",0,0,1,0,0,1
"LCK",0,0,1,0,0,1
"CD2",0,0,1,0,0,1
"ITGAX",0,0,1,0,0,1
"CD28",0,0,1,0,0,1
"CCR5",0,0,1,0,0,1
"PTPRC",0,0,1,0,0,1
"CCR7",0,0,1,0,0,1
"TLR2",0,0,1,0,0,1
"ITGAM",0,0,1,0,0,1
"CD40",0,0,1,0,0,1
"RTKN2",0,0,0,1,0,1
"OASL",0,0,0,0,1,1
"OAS3",0,0,0,0,1,1
"TGFBI",0,0,0,0,1,1
"COL12A1",0,0,0,0,1,1
"IFITM1",0,0,0,0,1,1
"MX2",0,0,0,0,1,1
"BST2",0,0,0,0,1,1
"IFI44L",0,0,0,0,1,1
"COL5A2",0,0,0,0,1,1
"SERPINH1",0,0,0,0,1,1
"THBS2",0,0,0,0,1,1
"MMP3",0,0,0,0,1,1
"ISG15",0,0,0,0,1,1
"COL3A1",0,0,0,0,1,1
"COL1A2",0,0,0,0,1,1
"COL5A1",0,0,0,0,1,1
"LUM",0,0,0,0,1,1
"COL1A1",0,0,0,0,1,1
