Symbol,Drug,Approved,InteractionType,Sources,Score,PMIDs
CDKN2A,RIBOCICLIB,TRUE,"",ClearityFoundationBiomarkers; OncoKB; CKB-CORE,0.517894826973071,37424386; 31285369
CDKN2A,PACLITAXEL,TRUE,"",CKB-CORE,0.0338985704927828,39199558
CDKN2A,ULIXERTINIB,FALSE,"",CKB-CORE,0.372884275420611,34376578
CDKN2A,ALVOCIDIB,FALSE,"",CKB-CORE,0.177563940676481,12777976
CDKN2A,PF-04691502,FALSE,"",CKB-CORE,0.310736896183842,30647837
CDKN2A,ILORASERTIB,FALSE,"",CGI,0.0160725980784746,""
CDKN2A,VEMURAFENIB,TRUE,"",CIViC; CKB-CORE,0.201559067794925,34376578; 33947696
CDKN2A,RONICICLIB,FALSE,"",ClearityFoundationBiomarkers,0.0665864777536805,""
CDKN2A,CETUXIMAB,TRUE,"",CKB-CORE,0.100779533897462,27311401
CDKN2A,SAPANISERTIB,TRUE,"",CKB-CORE,0.162123598008961,25261369
CDKN2A,TEMOZOLOMIDE,TRUE,"",CKB-CORE,0.177563940676481,37722087
CDKN2A,PF-00477736,FALSE,"",CKB-CORE,0.932210688551527,26140595
CDKN2A,HMN-214,FALSE,"",CKB-CORE,1.86442137710305,25156567
CDKN2A,MILCICLIB,FALSE,"",CKB-CORE,0.338985704927828,23347136
CDKN2A,POLO-LIKE KINASE 1 INHIBITOR GSK461364,FALSE,"",CKB-CORE,1.86442137710305,25156567
CDKN2A,COBIMETINIB,TRUE,"",CKB-CORE,0.196254881800322,34376578
CDKN2A,GEMCITABINE,TRUE,"",CKB-CORE,0.0405308995022403,25156567
CDKN2A,PANITUMUMAB,TRUE,"",CIViC,0.0932210688551527,""
CDKN2A,BUPARLISIB,FALSE,"",CKB-CORE,0.149153710168244,30093452
CDKN2A,"(10R)-10-METHYL-3-(6-METHYLPYRIDIN-3-YL)-9,10,11,12-TETRAHYDRO-8H-[1,4]DIAZEPINO[5',6':4,5]THIENO[3,2-F]QUINOLIN-8-ONE",FALSE,"",CKB-CORE,1.24294758473537,26140595
CDKN2A,SIROLIMUS,TRUE,"",CKB-CORE,0.0642903923138984,30647837
CDKN2A,CARBOPLATIN,TRUE,"",CKB-CORE,0.0433586366768152,39199558
CDKN2A,PALBOCICLIB,TRUE,"",CIViC; ClearityFoundationBiomarkers; PharmGKB; OncoKB; CKB-CORE,1.02360389331148,34369425; 27311401; 30647837; 21871868; 39199558; 33472910; 20952405; 26380006; 38899982; 34376578; 33947696; 30093452; 22983396; 25156567; 37424386; 23898052; 35050752; 32669708; 26183925; 27488531; 30979737; 38718141; 22711607
CDKN2A,EVEROLIMUS,TRUE,"",CKB-CORE,0.109671845711944,30647837
CDKN2A,LETROZOLE,TRUE,"",CIViC,0.103578965394614,""
CDKN2A,TRAMETINIB DIMETHYL SULFOXIDE,TRUE,"",CKB-CORE,0.27767977956854,33472910; 32922664; 26343583; 34376578; 22983396; 27488531
CDKN2A,DABRAFENIB,TRUE,"",CIViC; CKB-CORE,0.276210574385638,33472910; 32922664
CDKN2A,ABEMACICLIB,TRUE,"",ClearityFoundationBiomarkers; OncoKB; CKB-CORE,0.785019527201286,27217383; 37611074; 26183925; 37722087; 38718141
ERICH3,CITALOPRAM,TRUE,"",PharmGKB,0.994358067788296,26903268
ERICH3,ANTIDEPRESSANT AGENT,FALSE,"",PharmGKB,1.33855893740732,35878676; 33230203; 26903268
ERICH3,SEROTONIN,FALSE,"",PharmGKB,4.97179033894148,26903268
CDH13,[3H]TBZOH,FALSE,inhibitor,GuideToPharmacology,4.01567681222196,""
CDH13,KETANSERIN,FALSE,inhibitor,GuideToPharmacology,0.174594644009651,""
CDH13,DEXTROAMPHETAMINE SULFATE,TRUE,"",PharmGKB,0.422702822339154,27771748
CDH13,RESERPINE,TRUE,inhibitor,GuideToPharmacology,0.154449108162383,""
CDH13,ASPIRIN,TRUE,"",PharmGKB,0.0902399283645385,31854260
CDH13,[125I]IODOVINYL-TBZ,FALSE,inhibitor,GuideToPharmacology,4.01567681222196,""
CDH13,TETRABENAZINE,TRUE,inhibitor,GuideToPharmacology,0.803135362444393,""
CDH13,PERPHENAZINE,TRUE,"",PharmGKB,0.308898216324767,22920393
