Symbol,n_drugs,n_interactions,drug_names,interaction_types,sources,pooled_log2FC,rem_pvalue,rem_padj,Direction,Gene_Family,is_hub,Priority
PDGFRB,79,79,IMATINIB; REGORAFENIB; PETROSIOL A; BECAPLERMIN; RINUCUMAB; ENMD-981693; SORAFENIB; MASITINIB; PAZOPANIB; TIVOZANIB HYDROCHLORIDE; TOZASERTIB; TELATINIB; MOTESANIB; PD-0166285; SU-014813; X-82; RABEPRAZOLE; ILORASERTIB; XL999; SUNITINIB; LEUCOVORIN CALCIUM; RG-1530; ROMIPLOSTIM; MK-2461; CATEQUENTINIB; PEGPLERANIB SODIUM; TAMATINIB; CP-547632; CRENOLANIB; TG100-801; AXITINIB; IRINOTECAN HYDROCHLORIDE; TAK-593; TOCERANIB PHOSPHATE; XL-999; AST-487; FAMITINIB; CM-082; LENVATINIB; FLUOROURACIL; XL820; CHEMBL:CHEMBL546797; VANDETANIB; PUQUITINIB MESYLATE DIHYDRATE; BARASERTIB-HQPA; DORAMAPIMOD; PONATINIB; QUIZARTINIB; MIDOSTAURIN; AMUVATINIB; VARGATEF; DOVITINIB LACTATE; HESPERADIN; BEVACIZUMAB; CENISERTIB; SNS-314; FORETINIB; RIPRETINIB; BARASERTIB; ORANTINIB; JI-101; CEP-2563 DIHYDROCHLORIDE; NVP-TAE684; VATALANIB; NINTEDANIB ESYLATE; PAZOPANIB HYDROCHLORIDE; CEDIRANIB; TANDUTINIB; LINIFANIB; PF-562271; NILOTINIB; XL-820; SOTRASTAURIN; DOVITINIB; SERALUTINIB; TRAPIDIL; PP2; DASATINIB ANHYDROUS; CDP-860,inhibitor; ; agonist,TEND; TTD; TdgClinicalTrial; PharmGKB; OncoKB; DTC; TALC; ChEMBL; FDA; MyCancerGenomeClinicalTrial; MyCancerGenome; TALC; ChEMBL; DTC; TEND; TTD; TdgClinicalTrial; ChEMBL; ChEMBL; ClearityFoundationClinicalTrial; TEND; TTD; MyCancerGenomeClinicalTrial; MyCancerGenome; TdgClinicalTrial; PharmGKB; DTC; TALC; ChEMBL; MyCancerGenomeClinicalTrial; TdgClinicalTrial; ChEMBL; ClearityFoundationClinicalTrial; MyCancerGenomeClinicalTrial; MyCancerGenome; DTC; TALC; ChEMBL; TTD; MyCancerGenome; TdgClinicalTrial; TALC; ChEMBL; MyCancerGenome; TdgClinicalTrial; TALC; ChEMBL; DTC; ChEMBL; TTD; MyCancerGenome; ChEMBL; TTD; TdgClinicalTrial; TALC; TEND; MyCancerGenome; CIViC; TdgClinicalTrial; PharmGKB; TALC; ChEMBL; PharmGKB; TdgClinicalTrial; MyCancerGenome; TdgClinicalTrial; TALC; TTD; ChEMBL; TALC; MyCancerGenome; TALC; ChEMBL; TdgClinicalTrial; DTC; TALC; ChEMBL; ClearityFoundationClinicalTrial; TTD; MyCancerGenome; TdgClinicalTrial; ChEMBL; DTC; TALC; ChEMBL; MyCancerGenome; DTC; ChEMBL; MyCancerGenome; TdgClinicalTrial; DTC; TALC; ChEMBL; MyCancerGenomeClinicalTrial; ClearityFoundationClinicalTrial; TdgClinicalTrial; DTC; TALC; ChEMBL; TEND; MyCancerGenomeClinicalTrial; TdgClinicalTrial; DTC; TALC; ChEMBL,1.08993215859173,0.000151283420968408,0.00578549986583271,Up,Kinase,TRUE,High
ALB,43,44,"UROCORTIN 3; UROCORTIN 2; [125I]ANTISAUVAGINE; SAUVAGINE; UROCORTIN 1; ANTISAUVAGINE; COCHINCHINENIN C; GADOFOSVESET TRISODIUM; CHEMBL:CHEMBL1945287; EPIGALLOCATECHIN; EPICATECHIN GALLATE; [125I]ASTRESSIN; NAPROXEN SODIUM; EPIGALLOCATECHIN-3-GALLATE; EBSELEN; EPICATECHIN; GADOBENATE DIMEGLUMINE; WARFARIN; [125I]UROCORTIN 1 (MOUSE, RAT); BISMUTH; CORTICOTROPHIN-RELEASING HORMONE; SODIUM DODECYL SULFATE; AMODIAQUINE HYDROCHLORIDE; IODIPAMIDE; PYROGALLOL; CORTICOTROPIN-RELEASING FACTOR; ASTRESSIN 2B; K31440; ASTRESSIN; UROTENSIN 1 (FISH); OLMESARTAN MEDOXOMIL; DIAZEPAM; EVANS BLUE; ALBUMIN HUMAN-KJDA; [125I]SAUVAGINE (FROG); ANTISERUM; DICLOFENAC SODIUM; K41498; RALTITREXED; PHENYLBUTAZONE; OXYPHENBUTAZONE; [19F]-HALOPERIDOL; FLUCONAZOLE",agonist; inhibitor; ,GuideToPharmacology; DTC; TTD; NCI,-3.01251895881514,0.00358843263976719,0.0458909765804311,Down,Other,TRUE,High
ACTA2,33,33,AZD2423; CCL8; CCL2; JNJ-27141491; HIV-TAT; RS-136270; BMS-741672; GSK COMPOUND 34; CCL16; PLOZALIZUMAB; BMS-681; BMS-753426; [125I]CCL2 (HUMAN); INCB8761; PF-04634817; MC148R; TAK-779; CCL13; CCL26; TEIJIN-LEAD_CMP_5; CCL11; RS-102895; ILACIRNON; CCR2-RA-[R]; VCCL4; COMPOUND 39 [PMID: 31742400]; VMIP-II; RS-504393; SB-282241; CCL24; CCL7; INCB3284; [125I]CCL7 (HUMAN),modulator; agonist; inhibitor; antibody,GuideToPharmacology,1.09969497462838,0.000432447639643183,0.0119234133432988,Up,Other,TRUE,High
MMP9,25,25,CURCUMIN PYRAZOLE; TST10088; CELECOXIB; CURCUMIN; TOZULERISTIDE; SHARK CARTILAGE EXTRACT AE-941; HYDRALAZINE; ULINASTATIN; BEVACIZUMAB; CARBOXYLATED GLUCOSAMINE; METHYLDOPA ANHYDROUS; ANDECALIXIMAB; DP-B99; NEOVASTAT; PRINOMASTAT; REBIMASTAT; INCYCLINIDE; CTS-1027; DEMETHYLWEDELOLACTONE; S-3304; ILOMASTAT; MARIMASTAT; AZD-1236; ANTIHYPERTENSIVE AGENT; NIFEDIPINE,; inhibitor; vaccine,DTC; TdgClinicalTrial; PharmGKB; TTD; CIViC; TTD; ChEMBL; TALC; ChEMBL; TEND; TdgClinicalTrial; ChEMBL,1.56415214587033,0.000145857712489225,0.00563524283726142,Up,Protease,TRUE,High
COL12A1,22,22,"COMPOUND 29 [MOSLIN ET AL., 2017]; RO20-1724; PDE4 INHIBITOR 16; DIFAMILAST; MANGOSTIN; TALAROTERPHENYL A; BPN14770; TODDACOUMALONE; LEO 29102; 6-HYDROXY-5,7-DIMETHOXYFLAVONE; COMPOUND 3M [PMID: 32603117]; APREMILAST; LEO 239652; MK-0359; MANGOSTANIN; CBS-3595; MORACIN M; CDP840; &ALPHA;-MANGOSTIN DERIVATIVE 4E; RS-25344; ROLIPRAM; NERANDOMILAST",inhibitor; modulator,GuideToPharmacology,1.43466881887933,0.00142457522581627,0.0254361024326723,Up,Other,TRUE,High
BST2,19,19,"ZN2+; PB2+; ETHYLISOPROPYLAMILORIDE; AMILORIDE; [125I]PSALMOTOXIN 1; PSALMOTOXIN 1; PI-HEXATOXIN-HI1A; IBUPROFEN, SODIUM SALT; JNJ-67869386; MAMBALGIN-1; PI-THERAPHOTOXIN-HM3A; BENZAMIL; NAFAMOSTAT; JNJ-799760; DIMINAZENE; H+; NS383; COMPOUND 5B [PMID: 25974655]; ASC06-IGG1",blocker; ; activator,GuideToPharmacology,1.25417098216236,8.49348468271147e-05,0.00402151332789455,Up,Other,TRUE,High
MMP3,14,14,PRINOMASTAT; CTS-1027; BERKELEYTRIONE; MARIMASTAT; PRAVASTATIN SODIUM; BERKELEYACETAL B; BERKELEYAMIDE B; LISINOPRIL ANHYDROUS; ILOMASTAT; BERKELEYDIONE; CHLORTHALIDONE; BERKELEYAMIDE C; BERKELEYACETAL C; BERKELEYACETAL A,vaccine; inhibitor; ,TALC; ChEMBL; DTC; TEND; TdgClinicalTrial; ChEMBL; PharmGKB; TTD,1.59539102047428,4.76469823793828e-05,0.00261384773335724,Up,Protease,TRUE,High
FN1,13,13,ONFEKAFUSP ALFA; COMPOUND 28 [PMID: 16460935]; L19TNFA; RADRETUMAB; DAROMUN; SUTIMLIMAB; MU-BC-1; L19IL2; AS-1409; DACARBAZINE; OCRIPLASMIN; L19SIP 131I; AS1409,; inhibitor; binder; antibody; cleavage; other/unknown,TTD; GuideToPharmacology; ChEMBL; CIViC; CIViC; ChEMBL; TTD; ChEMBL; TdgClinicalTrial,2.10972426775836,0.0010059866814544,0.0205974801998174,Up,Other,TRUE,High
COL1A2,9,9,TNF-ALPHA; ST034307; RECOMBINANT TRANSFORMING GROWTH FACTOR-BETA-2; RECOMBINANT INTERFERON; DAUNORUBICIN LIPOSOMAL; RECOMBINANT TRANSFORMING GROWTH FACTOR; OCRIPLASMIN; COLLAGENASE CLOSTRIDIUM HISTOLYTICUM; DOXORUBICIN HYDROCHLORIDE,; inhibitor; cleavage,NCI; GuideToPharmacology; PharmGKB; ChEMBL; TEND; TdgClinicalTrial; ChEMBL,1.81322189209474,0.000319849184497382,0.00972301426996474,Up,Other,TRUE,High
MMP13,8,8,CURCUMIN; REBIMASTAT; DOXYCYCLINE CALCIUM; APRATASTAT; PRINOMASTAT; DOXYCYCLINE ANHYDROUS; CTS-1027; ILOMASTAT,; inhibitor; vaccine,TTD; ChEMBL; TTD; ChEMBL; TALC,2.71040990736568,0.00155352234496151,0.0269226437755912,Up,Protease,TRUE,High
