Symbol,n_studies,method_used,pooled_log2FC,pooled_se,rem_pvalue,I2,tau2,Q,Q_pval,vote_up,vote_down,fisher_pvalue,rem_padj,fisher_padj
IZUMO1,3,REML,-3.62846304481233,0.368755013355515,7.58871299007927e-23,12.933828646006,0.0536752797883958,2.39024610769483,0.302666707587669,0,3,8.4880842127586e-25,1.20728834959171e-18,2.83096292957603e-23
PKHD1L1,6,REML,-1.99374026237077,0.242853823916317,2.21869425246133e-16,33.165842896575,0.114582001076071,7.36423961735045,0.194929776089277,0,6,3.5985409461414e-22,7.05944137248145e-13,8.19015563836388e-21
SLC6A14,5,REML,3.26069331271893,0.403461838640195,6.38236428188343e-16,2.8908362840473,0.0240567362554643,4.94457060187635,0.293032329756342,4,0,1.51179384240183e-14,1.69228388934139e-12,1.08877900582936e-13
SPINK1,7,REML,-1.91180632994834,0.239644976201942,1.4913256628391e-15,8.76826901572949e-05,3.85643914835032e-07,7.3908290005149,0.286209946513769,0,5,6.19744120094215e-13,3.38935713858674e-12,3.45583918912684e-12
TUBB3,7,REML,1.8598298313784,0.234776862278295,2.34301395963665e-15,35.9063569815955,0.132069921457657,9.1330293979463,0.166233660479006,6,0,2.36363552863704e-24,4.65937613548244e-12,7.49065291336386e-23
ANKRD62,4,REML,-3.51035918755984,0.459426502055736,2.15974116075336e-14,46.1445335865401,0.385797711086748,5.43364510687598,0.142661682287059,0,4,1.25169179038565e-24,3.43593221264253e-11,4.0805665355011e-23
SLC47A2,3,REML,-2.1477496926936,0.29250808041138,2.09591717905948e-13,0.0016092946375174,5.26765497612936e-06,2.99697302608988,0.223468120419814,0,2,3.7005693775133e-12,2.77866220013811e-10,1.84842569001128e-11
OR6T1,2,REML,-4.73427953589972,0.650294421927327,3.33302519296645e-13,0,0,0.0944684914385705,0.75857144861624,0,2,2.14965652799527e-12,4.07885367653102e-10,1.1053292082701e-11
CST2,5,REML,3.41791883729141,0.492384983111312,3.87799402915123e-12,14.114068414748,0.175465710372611,5.83252913451641,0.212009056838741,3,0,7.55269415009088e-13,3.88907568268486e-09,4.15476525704688e-12
ERICH3,2,REML,3.91158942645871,0.563601248509786,3.91132132270777e-12,24.8352181087842,0.157898426131771,1.33041029966305,0.248732238173915,2,0,4.75173633975648e-15,3.88907568268486e-09,3.68219062002853e-14
MCOLN3,7,REML,-1.3764784929463,0.200742269262504,7.03492057157977e-12,20.3857300902304,0.0570642230394934,9.32669249730997,0.15602151697205,0,4,2.48133476264274e-13,6.58344419842721e-09,1.46913117747984e-12
ROS1,2,REML,3.21355229377645,0.477538678232678,1.70355511857295e-11,0,0,0.446513355543251,0.503995373633858,2,0,8.83493338371551e-11,1.5056587989654e-08,3.56647945195458e-10
GRPR,3,REML,-2.84341698351489,0.436987880470192,7.67401752881303e-11,0,0,1.49071977823145,0.47456347897265,0,3,1.12689338622197e-09,5.30808455938637e-08,3.81441423008625e-09
CHST9,7,REML,-1.20321286019534,0.190403472404313,2.62784716531903e-10,0.00109802235452995,2.932499399328e-06,6.85691640470507,0.334282536678996,0,3,3.83778782378374e-08,1.60793925204079e-07,1.02270295625755e-07
