ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,199,0.701500361350986,2.47731634319757,1e-10,2.5e-09,1.36842105263158e-09,3101,"tags=65%, list=20%, signal=53%",10085/9353/7045/4314/2303/3624/7076/1296/1289/1307/5159/1284/10409/1893/131578/22943/8985/1278/1809/2199/59/5999/7070/633/1281/2669/5654/4837/1009/1290/3693/1277/6678/7058/64175/7424/3486/871/2335/8572/6443/4060/1303/79709/50863/4016/355/10631/1004/1311/5352/3487/5270/1301/1462/1292/4982/7052/4035/1282/813/4323/6424/11167/5329/3956/115908/2026/2191/649/800/2014/4015/7412/6591/4017/6444/4256/8038/388/10398/5396/4313/4638/3688/6695/26585/3576/1294/1293/2200/374/2201/3673/5351/3491/3685/966/22795/7171/4148/7057/1634/5118/2316/2331/5376/7456/8076/1000/30008/3915/26577/1647/7128/7169/2697/822/4907/5744/5217/6876/3918/25878/7431/5054/667/4487/2619/6696
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,198,0.604102108704042,2.13181390346893,1e-10,2.5e-09,1.36842105263158e-09,4420,"tags=59%, list=28%, signal=43%",5142/4600/57169/10379/9636/5770/55008/684/4599/4940/8638/5214/3383/3091/3105/3959/355/84159/10964/4939/9246/10392/7903/91543/129607/94240/27348/3429/5371/669/715/3627/10561/7412/5743/10581/54739/11274/9021/567/6773/6774/26053/10437/3717/79132/2357/3620/716/85441/3106/7130/3455/3937/8869/55601/5690/6648/4061/103/7127/8651/7128/51056/3001/84166/10410/942/972/6403/54625/6772/9688/55024/10135/5610/6890/115361/3123/64135/7453/10124/3135/3587/3117/8202/3566/5359/3437/3434/8767/1439/3108/3075/8082/5683/5777/3430/7378/10616/969/6347/3560/4790/4615/2643/5698/57162/10906/3669/80830/1240/2209/9111/3433/26524/5696
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,184,0.565340783338909,1.97992220405439,3.10678540613444e-09,5.17797567689073e-08,2.83426037050861e-08,3865,"tags=47%, list=24%, signal=36%",1029/9655/941/9450/3624/7076/4318/8444/23308/6357/7070/6351/3383/3091/43/3105/5552/7097/355/7186/4830/3976/672/7903/7321/896/3559/940/23166/9466/8477/920/567/1435/961/8560/2589/2113/3589/2213/717/9734/3717/2000/3455/8672/3586/2316/3937/6688/4690/8651/7454/3001/942/2149/822/3689/972/1615/3122/3625/6772/6890/2634/7453/3135/3117/50852/3566/8767/3824/3108/915/6885/2069/3133/1230/5777/114548/3109/3002/7096/3561/6347/3560
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,198,0.547608661847673,1.93245436850281,5.2631807826517e-09,6.57897597831463e-08,3.60112369339327e-08,4051,"tags=46%, list=26%, signal=35%",19/5142/941/1959/3624/6364/6515/1847/8848/23308/2669/1839/3726/6351/51278/3383/7097/23645/1960/9308/3976/597/8553/55332/24145/127544/5209/5329/8942/5055/8660/3627/5743/1326/9021/22822/388/5328/24147/7185/5271/1435/4973/10365/3552/10611/374/2921/3491/5791/7130/1844/9120/10769/3604/5341/6648/1051/5971/9242/7127/1647/7128/4170/7538/9334/4814/2683/5054/4794/10135/6890/8877/6776/64135/9034/8767/3371/7422/10209/650/4082/969/5970/6347/10938/9516/8061/4790/2114/2643/9945
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,0.62337115464084,2.02657732388696,1.31039931297879e-07,1.31039931297879e-06,7.17271202893651e-07,3417,"tags=52%, list=22%, signal=41%",10379/9636/55008/684/4599/8638/3959/8519/10964/9246/4938/91543/129607/94240/3429/3627/10561/10581/83666/11274/567/6773/1435/961/10437/55603/79132/716/85441/55601/4061/103/54809/51056/10410/972/54625/3107/5610/6890/115361/27074/64135/2634/7453/9034/3566/5359/3437/8767
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,189,0.515233940495074,1.80993240969511,1.93467955084277e-06,1.57642150864234e-05,8.62883352098965e-06,3676,"tags=39%, list=23%, signal=30%",2771/9353/7045/57555/7533/1307/4318/7070/1009/8515/6624/8745/3383/9379/5010/7450/87/1004/794/140885/80381/1462/4982/143903/5175/4478/1001/8935/649/7412/10458/10398/4313/7185/60/3688/4192/2200/4763/1272/3673/9672/51148/9019/147/3675/7791/1825/2770/10109/71/942/9459/5819/5522/8754/6464/3918/2683/7087/347902/3667/10487/1265/8751/4267/11096/10290/2318/5216/51474/5097/10174
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,189,0.51358975203717,1.80415664504974,2.20699011209928e-06,1.57642150864234e-05,8.62883352098965e-06,4084,"tags=50%, list=26%, signal=37%",6098/19/5142/187/133/6004/488/684/3624/7076/6364/5008/23308/5996/1839/3759/728/3383/3091/9435/8685/2769/5099/7097/8519/6324/3976/1604/929/4323/5329/23166/2014/3627/4481/3269/1536/1435/10507/558/3576/4973/7162/3552/5791/2357/3656/29933/23601/7130/10630/3586/3604/3937/391/4061/10203/64127/27032/5724/719/7133/1441/5054/10135/5610/8877/8809/2550/27074/9034/3587/3566/8767/196/2069/4891/114548/23533/4210/2773/969/7096/5970/5739/6347/3678/3560/4790/131566/3037/2643/6402/136
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,191,0.511417914877668,1.7980675981034,3.72942558074549e-06,2.33089098796593e-05,1.27585611972872e-05,2461,"tags=32%, list=16%, signal=28%",5228/133/5230/272/7045/5033/2597/1289/665/6515/3073/5214/205/633/10397/3486/9435/2997/226/1944/3099/8819/23645/8609/3098/7052/4282/8553/2023/5317/6533/5209/7852/5329/30001/2026/9957/2548/6513/4015/8497/8660/10570/284119/7162/5066/2113/3491/9672/3423/56925/1634/23210/2821/230/538/7167/2632/901/3516/55276/7128
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,192,0.497057366897122,1.7490197878797,1.19719784837989e-05,6.65109915766607e-05,3.64060164419617e-05,4465,"tags=47%, list=28%, signal=34%",6004/3624/6364/4318/4320/1839/3486/4803/2207/4319/6590/2115/23645/639/9358/23643/6324/3976/64123/28959/101/9935/5175/7852/5329/30001/1848/669/2324/3627/5743/55365/50856/5328/23531/5396/7185/25907/1438/25960/2113/7462/3018/3673/9734/3936/55107/3290/10457/7805/28951/51311/2162/8808/7128/80380/3689/719/7133/9590/3783/6696/219333/3587/5121/2022/3075/2069/57332/55273/79810/1363/650/56172/3561/8829/51199/6480/5327/131566/9945/84869/10103/4013/1240/22903/867/7476/7813/5696/10418
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,180,0.485215355557975,1.69248774922941,3.74321707423251e-05,0.000187160853711625,0.000102445940978995,3770,"tags=38%, list=24%, signal=29%",1012/187/6319/165/203/5569/1284/6709/6016/1281/3693/1277/1839/6678/3486/43/9260/29970/10278/3490/7138/5621/5740/3316/1292/2180/11345/8553/5925/4208/2548/8497/5213/6444/8038/4638/3688/1293/537/351/10468/4607/2170/22808/7169/6876/6764/4619/7136/4622/22924/8877/6261/4046/2702/8912/624/10290/274/8082/5507/23175/6442/140465/2934/10174/4205/3757
