ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
hsa04145,Phagosome,142,0.600704804826093,2.01626636307127,6.75641681451316e-09,2.38501513552314e-06,1.66421214168008e-06,4026,"tags=61%, list=25%, signal=46%",10381/9296/8992/9550/3118/526/7846/1514/10376/3693/7058/23480/8685/3105/7099/7097/1311/4360/3127/3120/79659/51606/529/811/929/9902/715/7277/64581/9114/4481/5878/1536/60/9341/3688/527/4973/4074/537/4688/338382/3673/5869/2214/2213/3685/7057/3106/3684/2215/1778/81035/71/22925/3689/84790/523/3107/3122/7879/3920/6890/1780/3123/528/3135/653361/3117/533/2212/203068/3108/3133/3119/3109/3134/3113/5879/3115/718/3678/6891/51382/10383/9103
hsa05323,Rheumatoid arthritis,85,0.64616776353465,2.03198894086817,4.64481516715659e-08,8.19809877003137e-06,5.72045657428758e-06,3852,"tags=59%, list=24%, signal=45%",9296/941/8992/9550/4314/3118/6364/526/1514/10673/3383/1513/7099/7097/3127/3120/51606/529/2321/940/6348/9114/1435/527/3576/3552/537/3589/2921/942/6374/3689/523/3122/3123/528/3117/533/7422/3108/8600/3119/1493/3109/414062/3113/4312/3115/7043/6347
hsa04612,Antigen processing and presentation,63,0.626034542100353,1.88330855574098,2.29778241315298e-05,0.0021674704163113,0.00151241412678349,3939,"tags=60%, list=25%, signal=45%",3118/1514/1385/3105/3308/3127/3120/5641/1508/811/3310/920/567/10437/3106/3305/3320/972/3107/3122/6890/3123/3135/3117/2923/3824/5993/3108/10197/3133/3119/3109/3134/3113/3115/3326/3306/6891
hsa04380,Osteoclast differentiation,129,0.533368225922974,1.77112892720596,2.45605712896464e-05,0.0021674704163113,0.00151241412678349,4579,"tags=51%, list=29%, signal=37%",5530/7046/10379/1540/488/1385/3726/1513/23547/11027/140885/7186/2534/4982/3708/7305/2274/11024/9021/10859/6773/1435/11006/3552/695/4688/1436/54209/2214/2213/79168/3455/3937/2885/6688/2215/10288/5971/814/11025/8651/6772/653361/5534/2212/8600/6885/5879/7132/5970/5468/8061/4790/353514/9103/3454/2355/2209/3716/7297/126014/5295/10326/4689/10000/4286
hsa00670,One carbon pool by folate,39,-0.698581945467,-2.1368545187591,8.34640020180607e-05,0.00279534656086837,0.0019505325637191,2881,"tags=59%, list=18%, signal=48%",10840/1738/4522/10797/29958/4548/501/4144/107080644/635/4143/160428/27232/102724560/100528021/200895/1757/2731/875/10588/275/55349/1491
hsa00280,"Valine, leucine and isoleucine degradation",47,-0.641652631424386,-2.04658385365836,8.71071166276264e-05,0.00279534656086837,0.0019505325637191,2984,"tags=62%, list=19%, signal=50%",587/3033/3032/1738/223/1962/586/549/34/30/501/3158/5096/3030/3712/1629/35/224/593/36/4594/316/38/26275/56922/18/4329/27034/5095
hsa04518,Integrin signaling,147,0.520370438927769,1.75940657007251,4.08282716538755e-05,0.00279534656086837,0.0019505325637191,3859,"tags=44%, list=24%, signal=34%",5228/3910/5159/1284/1278/3693/1277/7058/8515/7424/2335/3383/22801/2243/7450/87/1311/3672/1292/1282/896/2321/2324/7412/3687/3674/60/3688/1291/1293/2200/3987/29780/3673/1287/3685/7057/3684/3912/2316/3675/3915/71/7094/9459/63923/3689/83706/3918/3913/6696/3082/3371/5881/1499/7422/5156/64098/3681/3911/5879/2932/718/5155/3678
hsa05162,Measles,118,0.529795146719252,1.74282936266282,7.0047959500513e-05,0.00279534656086837,0.0019505325637191,4586,"tags=52%, list=29%, signal=37%",4600/10379/4599/4940/29110/7099/7097/355/637/868/4939/3718/4938/896/3559/940/4478/3310/6773/6774/3552/2213/317/898/1457/3455/3305/283106/7187/9641/103/7128/54205/51209/6772/8772/5610/6776/64135/915/6885/4793/5970/2932/3561/51284/3560/4790/4615/8717/3454/3303/30835/6777/3654/3716/7297/3304/5295/10000/598
hsa04514,Cell adhesion molecule (CAM) interaction,148,0.510530331552034,1.72764206875069,6.51739977930101e-05,0.00279534656086837,0.0019505325637191,3773,"tags=41%, list=24%, signal=31%",941/57555/3118/23308/102723996/3383/9379/5010/3105/4685/57689/29851/80381/3127/3120/1462/139065/57502/6614/5175/940/1001/7412/920/3688/90952/1272/9069/3685/22854/6404/9672/3106/3684/1000/1003/80380/942/5819/3689/6403/22829/3107/3122/5797/83692/3123/4267/3135/3117/5133/923/3108/3133/3119/1493/3109/3134/3113/3115
hsa05169,Epstein-Barr virus infection,187,0.485962499593135,1.69294816437744,5.03771688846785e-05,0.00279534656086837,0.0019505325637191,3975,"tags=42%, list=25%, signal=32%",7979/10379/9636/3118/4940/10213/3383/29110/3105/7097/355/8819/637/7186/5706/3127/3120/4939/3718/1871/4938/896/811/5701/5925/953/3627/5717/5709/567/6773/6774/695/317/898/3106/3455/3516/7187/9641/5707/5971/1647/7128/864/54205/9612/3107/3122/7431/6772/51426/4794/8772/5714/5610/6890/3123/3135/5704/3117/2923/3108/915/6885/3133/3119/3109/3134/3113/5708/5879/4793/5970/3115/4790/4615/6891/8717
hsa04820,Cytoskeleton in muscle cells,204,0.472958560313022,1.65876652317606,8.10396938501506e-05,0.00279534656086837,0.0019505325637191,2989,"tags=35%, list=19%, signal=29%",255631/272/1289/1284/6709/1278/2199/633/1281/1290/3693/1277/7058/8515/2335/8572/22801/6443/9260/1311/7138/3672/1301/1462/1292/1282/2023/2026/4811/2274/3339/6444/10398/8735/832/3674/60/3688/1291/1293/79188/2200/10611/27063/2201/3673/1287/2275/3685/27295/22795/9672/7171/4607/7057/1634/84823/3675/7791/7169/5339/71/7094/81624/64236/165904/91010/4619/7431/830/7136/4622
hsa05330,Allograft rejection,31,0.703252286194187,1.89115673553456,0.000171885606992394,0.00505630160569292,0.00352817824879124,3773,"tags=74%, list=24%, signal=57%",941/3118/3105/355/3127/3120/940/3106/3586/942/3107/3122/3123/3135/3117/3108/3133/3119/3109/3134/3113/3002/3115
hsa01210,2-Oxocarboxylic acid metabolism,29,-0.700810396817507,-2.04790403118803,0.000215167093783946,0.00557984847699842,0.00389349796814561,2984,"tags=45%, list=19%, signal=36%",587/1738/586/2805/50/1629/48/593/84706/5160/3418/2875/55526
hsa05332,Graft-versus-host disease,32,0.695497883133233,1.87652279545065,0.000221297106736481,0.00557984847699842,0.00389349796814561,3773,"tags=75%, list=24%, signal=57%",941/3118/3105/355/3127/3120/940/3552/3106/942/3107/3122/3123/3135/3117/3824/3108/3133/3119/3109/3134/3113/3002/3115
hsa04142,Lysosome biogenesis,242,0.448471513446347,1.60202813999148,0.000239518206724323,0.00563666179824574,0.00393314107884152,3232,"tags=38%, list=20%, signal=31%",9296/8992/9550/24141/57192/3073/526/2717/1514/5660/28962/1513/26175/1200/8907/51699/26258/282991/1213/1175/51606/2799/529/1173/5641/121260/1508/6556/1211/5538/57617/163/51296/2588/2548/4126/160/23659/411/9114/7030/10947/120103/55315/527/1174/4074/537/130340/967/64121/5476/3423/4668/7942/55004/27072/6609/8692/127829/55330/9842/427/23557/7805/1212/10577/10670/950/51311/2720/57707/114879/1777/54832/1509/1519/8218/9741/968/1522/26503/1201/523/3074/138050/7879/3920/55207/79036/27074/528/4864
hsa04621,NOD-like receptor signaling pathway,150,0.490883114094854,1.66442457848145,0.000255741730578803,0.00564230193089484,0.00393707664180526,3961,"tags=40%, list=25%, signal=30%",643246/10379/91662/4940/84168/29110/340061/7099/81631/7186/4939/10392/11345/4938/1508/51393/24145/64170/3708/5332/1536/6773/3576/3428/2921/22861/3455/118429/7226/7187/9641/387/3320/7128/64127/148022/6772/10135/8772/115361/2634/63940/5330/2633/8767/6041/6885/114548/4210/10616/4793/5970/11337/3326/6347/9140/331/4790/4615/5585
hsa05416,Viral myocarditis,64,0.59210994999344,1.78760444907071,0.000311293786739157,0.00646392392464249,0.00451038675522989,3928,"tags=61%, list=25%, signal=46%",941/3118/3383/6443/3105/637/2534/3127/3120/1982/1604/940/6444/60/3106/8672/27/71/942/3689/54205/3107/3122/3123/3135/3117/5881/3108/8082/3133/3119/6442/3109/6645/3134/3113/5879/3115/25
hsa04972,Pancreatic secretion,86,-0.523208474323307,-1.88659512079354,0.000344774196257082,0.00676140507104167,0.00471796268562323,1597,"tags=41%, list=10%, signal=37%",440387/3709/1504/1357/5408/5406/5644/1360/3784/487/23436/5319/63036/279/51032/10136/476/1056/5407/5645/1506/1358/6344/1080/6343/278/276/81579/1131/277/5646/23236/8671/280/9545
hsa04950,Maturity onset diabetes of the young,24,-0.742217610288736,-2.06092476974085,0.000436451170103097,0.00725360138554173,0.00506140666234312,2578,"tags=62%, list=16%, signal=52%",3170/6514/6928/3174/5313/3175/3375/3172/3651/3087/2494/6927/3110/168620/3171
hsa00640,Propanoate metabolism,30,-0.684005672920116,-2.00780862486516,0.000422485035507332,0.00725360138554173,0.00506140666234312,3066,"tags=63%, list=19%, signal=51%",55862/51/1738/8801/1962/32/5096/3030/8802/1629/35/593/23417/4594/26275/84532/18/4329/5095
hsa05150,Staphylococcus aureus infection,62,0.592957791950196,1.7765856369738,0.000414398672005497,0.00725360138554173,0.00506140666234312,4026,"tags=69%, list=25%, signal=52%",3118/3861/728/3383/3127/3120/715/712/2214/2213/717/2357/3868/6404/721/716/3684/3872/714/3586/2215/713/2359/3689/5724/6403/719/3122/3123/3860/25984/3866/3117/2212/3108/3075/3119/3109/3113/3115/718/720/9103
hsa05322,Systemic lupus erythematosus,121,0.505140486591365,1.66752119141466,0.000452065808730646,0.00725360138554173,0.00506140666234312,4897,"tags=63%, list=31%, signal=44%",941/3118/440093/6632/87/3127/3120/940/715/92815/3015/128312/712/8348/3018/2214/717/721/716/9555/714/3586/2215/6628/713/8969/8331/8359/942/8970/3014/8357/8342/8363/3122/8340/8332/8362/3123/126961/3012/3117/333932/2212/3108/3119/3109/8346/6741/3113/8337/3115/8352/718/653604/440686/8344/8361/720/723790/8329/8347/2903/8368/8339/94239/2209/8350/8336/8334/85235/8294/8358/8354/3111/6737
hsa05140,Leishmaniasis,71,0.558316158689971,1.70762627426487,0.000521399596975169,0.00800235033618412,0.00558386753739998,4542,"tags=63%, list=29%, signal=45%",3118/65108/7099/7097/3127/3120/5743/2002/1536/3688/3552/4688/2214/3717/3684/3586/2215/3689/3122/6772/3123/653361/3117/2212/3108/6885/3119/5777/3109/3113/4793/5970/3115/7043/718/4790/4615/9103/1378/1917/3654/2209/3716/4689/3676
hsa04217,Necroptosis,137,0.479299521874134,1.60692976888043,0.000623018941069798,0.00916357025823494,0.00639414176361108,4614,"tags=42%, list=29%, signal=30%",10379/1540/353376/7099/51510/355/637/7186/3718/92815/3015/5836/1536/6773/6774/3552/3717/57132/9555/815/6609/3455/2512/8969/3320/7128/8331/3014/148022/817/6772/8332/8772/5610/6776/5834/3012/114548/8605/10616/8337/7132/824/3326/331/8717/723790/5478/8329/3454/6777/94239/197259/3716/7297/8336/8334/85235
hsa00630,Glyoxylate and dicarboxylate metabolism,27,-0.699699954664666,-2.00439090202262,0.000669754865660257,0.00916515604800792,0.00639524829352573,2161,"tags=56%, list=14%, signal=48%",1738/132158/112817/5096/847/50/48/4594/2731/38/125061/81888/275/84532/5095
hsa00785,Lipoic acid metabolism,18,-0.768004150540965,-1.97217894168114,0.000675053986538827,0.00916515604800792,0.00639524829352573,1380,"tags=44%, list=9%, signal=41%",1629/387787/593/5160/2731/275/116285/55526
hsa05202,Transcriptional misregulation in cancer,166,0.462115900638933,1.58539097585181,0.000738105963424604,0.00952391548179274,0.00664558289172358,4997,"tags=49%, list=32%, signal=34%",1655/55589/4314/4318/440093/3486/861/5914/2115/3206/862/597/7490/929/2321/4208/5371/1848/7030/5328/7850/7185/3576/1436/6935/3684/8148/6688/1051/860/1647/100532731/4914/4149/942/8357/4086/6760/51426/2078/2120/466/126961/51513/2521/85414/333932/648/4005/904/8861/4066/3002/5970/8352/5468/3560/653604/440686/4300/4790/5327/7849/2209/8350/9915/5546/6929/51804/4286/598/5966/3398/890/8358/4291/8354/221037/3065/4094/8013
