ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030312,external encapsulating structure,61/405,428/15029,0.142523364485981,5.2888485058267,14.9801549517437,2.64547454965248e-27,8.3332448314053e-25,7.68579974425351e-25,PKHD1L1/COL24A1/CDH13/SSC5D/ADAMTS6/OLFML2B/PI3/AEBP1/EDIL3/TGFBI/TIMP2/MMP3/ADAMTS18/PXDN/TIMP1/COL8A2/COL5A1/PRELP/COL19A1/COL16A1/MMP9/COL4A2/CCN4/ECM1/MMP11/ADAMTS7/HPSE/COL1A2/ACTA2/MFGE8/COL4A3/ADAMTS2/BGN/COL3A1/HTRA1/COL5A2/ANOS1/COL1A1/SPARC/THBS2/HMCN1/SERPINH1/FN1/ICAM1/FGA/LUM/COL12A1/SULF1/MMP13/MMP10/LGALS3BP/SFRP2/SLPI/POSTN/SEMA7A/EMILIN1/ADAMTSL2/ESM1/EFNA5/ADAMTS12/COMP,61
GO:0031012,extracellular matrix,60/405,427/15029,0.140515222482436,5.21432908318154,14.7021627604149,1.600923282833e-26,2.52145417046197e-24,2.3255517161153e-24,COL24A1/CDH13/SSC5D/ADAMTS6/OLFML2B/PI3/AEBP1/EDIL3/TGFBI/TIMP2/MMP3/ADAMTS18/PXDN/TIMP1/COL8A2/COL5A1/PRELP/COL19A1/COL16A1/MMP9/COL4A2/CCN4/ECM1/MMP11/ADAMTS7/HPSE/COL1A2/ACTA2/MFGE8/COL4A3/ADAMTS2/BGN/COL3A1/HTRA1/COL5A2/ANOS1/COL1A1/SPARC/THBS2/HMCN1/SERPINH1/FN1/ICAM1/FGA/LUM/COL12A1/SULF1/MMP13/MMP10/LGALS3BP/SFRP2/SLPI/POSTN/SEMA7A/EMILIN1/ADAMTSL2/ESM1/EFNA5/ADAMTS12/COMP,60
GO:0098644,complex of collagen trimers,11/405,26/15029,0.423076923076923,15.6998100664767,12.4840171987856,2.55494473430965e-11,2.68269197102513e-09,2.47426226901566e-09,COL8A2/COL5A1/COL16A1/COL4A2/COL1A2/COL4A3/COL3A1/COL5A2/COL1A1/LUM/COL12A1,11
GO:0005581,collagen trimer,16/405,72/15029,0.222222222222222,8.24636488340192,10.2567369076252,5.97103131929605e-11,4.70218716394564e-09,4.3368543266466e-09,COL24A1/C1QTNF6/COL8A2/COL5A1/COL19A1/COL16A1/COL4A2/COL1A2/COL4A3/COL3A1/COL5A2/COL1A1/MARCO/LUM/COL12A1/EMILIN1,16
GO:0005788,endoplasmic reticulum lumen,28/405,282/15029,0.099290780141844,3.68454601173277,7.57335965240208,2.82820642078051e-09,1.78177004509172e-07,1.64333678344299e-07,ARSL/COL24A1/GHRL/TMEM132A/TIMP1/COL8A2/COL5A1/COL19A1/COL16A1/COL4A2/ADAMTS7/COL1A2/POGLUT2/MFGE8/COL4A3/COL3A1/COL5A2/COL1A1/IGFBP3/SERPINH1/FN1/IGFBP5/FGA/COL12A1/RCN3/ALB/CES3/FKBP10,28
GO:0005604,basement membrane,15/405,94/15029,0.159574468085106,5.92159180457053,7.96547941338218,2.95645735781229e-08,1.55214011285145e-06,1.43154777325648e-06,COL24A1/TGFBI/PXDN/TIMP1/COL8A2/COL5A1/COL16A1/COL4A2/ACTA2/COL4A3/SPARC/THBS2/HMCN1/FN1/EFNA5,15
GO:0005583,fibrillar collagen trimer,6/405,10/15029,0.6,22.2651851851852,11.1942158290699,7.0740164054342e-08,2.78539395963972e-06,2.56898490513137e-06,COL5A1/COL1A2/COL3A1/COL5A2/COL1A1/LUM,6
GO:0098643,banded collagen fibril,6/405,10/15029,0.6,22.2651851851852,11.1942158290699,7.0740164054342e-08,2.78539395963972e-06,2.56898490513137e-06,COL5A1/COL1A2/COL3A1/COL5A2/COL1A1/LUM,6
GO:0005796,Golgi lumen,9/405,82/15029,0.109756097560976,4.07289972899729,4.64326332449551,0.000353432660581587,0.0123701431203555,0.0114090543064933,PRELP/MUC15/MMP11/AGRP/GPC6/BGN/NGF/LUM/TPST2,9
GO:0001533,cornified envelope,6/405,37/15029,0.162162162162162,6.01761761761762,5.08526573647155,0.000422561640872547,0.0133106916874852,0.0122765276716656,KLK7/PI3/KRT14/CSTA/SCEL/SERPINB5,6
GO:0032426,stereocilium tip,4/405,18/15029,0.222222222222222,8.24636488340192,5.11913584434109,0.00117779733170377,0.033727832680608,0.0311073745024154,PKHD1L1/CEACAM16/LHFPL5/HOMER2,4
GO:0031091,platelet alpha granule,8/405,80/15029,0.1,3.71086419753086,4.04568159760512,0.00138325618524784,0.0363104748627559,0.0334893602744215,TIMP1/ISLR/SPARC/THBS2/FN1/FGA/PCDH7/ALB,8
