ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0005201,extracellular matrix structural constituent,31/388,156/14822,0.198717948717949,7.5912305048903,13.5685745335855,6.76893088924711e-19,3.93951777754182e-16,3.51271887199876e-16,COL24A1/AEBP1/EDIL3/TGFBI/PXDN/COL8A2/COL5A1/PRELP/COL19A1/COL16A1/COL4A2/ECM1/COL1A2/MFGE8/COL4A3/BGN/COL3A1/COL5A2/ANOS1/COL1A1/SPARC/THBS2/HMCN1/FN1/FGA/LUM/COL12A1/POSTN/EMILIN1/ESM1/COMP,31
GO:0030020,extracellular matrix structural constituent conferring tensile strength,12/388,40/14822,0.3,11.4603092783505,10.8609843545261,2.52084288905794e-10,7.33565280715859e-08,6.5409239173977e-08,COL24A1/COL8A2/COL5A1/COL19A1/COL16A1/COL4A2/COL1A2/COL4A3/COL3A1/COL5A2/COL1A1/COL12A1,12
GO:0030545,signaling receptor regulator activity,33/388,391/14822,0.0843989769820972,3.22412792997073,7.30737163720391,3.20712892518661e-09,6.22183011486202e-07,5.54777038637543e-07,IZUMO1/CLEC12A/PGF/CD80/ADM/GHRL/ANGPTL8/FGF7/FAM3B/APLN/ADM2/PXDN/INHBA/TIMP1/CCL20/C5/OSM/CLEC11A/DKK1/AGRP/CCL13/FN1/GPHA2/IGFBP5/NGF/SFRP2/CDNF/TFF1/SEMA7A/DKK3/EFNA5/INSL3/MIA,33
GO:0061135,endopeptidase regulator activity,18/388,133/14822,0.135338345864662,5.17006433609798,7.92015582836751,1.14040882433652e-08,1.42072101814803e-06,1.26680315056426e-06,SPINK1/CST2/PI3/TIMP2/BST2/NLRP12/TIMP1/C5/COL4A3/ANOS1/CSTA/SERPINH1/NGF/CST4/SFRP2/SLPI/SERPINB5/SERPINI2,18
GO:0004866,endopeptidase inhibitor activity,16/388,105/14822,0.152380952380952,5.82110947471772,8.12817908770945,1.33654728533691e-08,1.42072101814803e-06,1.26680315056426e-06,SPINK1/CST2/PI3/TIMP2/BST2/TIMP1/C5/COL4A3/ANOS1/CSTA/SERPINH1/NGF/CST4/SLPI/SERPINB5/SERPINI2,16
GO:0048018,receptor ligand activity,30/388,353/14822,0.084985835694051,3.24654653777635,7.00397810652861,1.46466084345157e-08,1.42072101814803e-06,1.26680315056426e-06,IZUMO1/PGF/CD80/ADM/GHRL/ANGPTL8/FGF7/FAM3B/APLN/ADM2/INHBA/TIMP1/CCL20/C5/OSM/CLEC11A/DKK1/AGRP/CCL13/FN1/GPHA2/IGFBP5/NGF/SFRP2/CDNF/TFF1/SEMA7A/EFNA5/INSL3/MIA,30
GO:0030546,signaling receptor activator activity,30/388,362/14822,0.0828729281767956,3.16583129236202,6.83999885369672,2.59544131725735e-08,1.76285345094384e-06,1.57186968948329e-06,IZUMO1/PGF/CD80/ADM/GHRL/ANGPTL8/FGF7/FAM3B/APLN/ADM2/INHBA/TIMP1/CCL20/C5/OSM/CLEC11A/DKK1/AGRP/CCL13/FN1/GPHA2/IGFBP5/NGF/SFRP2/CDNF/TFF1/SEMA7A/EFNA5/INSL3/MIA,30
GO:0030414,peptidase inhibitor activity,16/388,110/14822,0.145454545454545,5.55651358950328,7.86419765450017,2.64496477094543e-08,1.76285345094384e-06,1.57186968948329e-06,SPINK1/CST2/PI3/TIMP2/BST2/TIMP1/C5/COL4A3/ANOS1/CSTA/SERPINH1/NGF/CST4/SLPI/SERPINB5/SERPINI2,16
GO:0005518,collagen binding,13/388,70/14822,0.185714285714286,7.09447717231222,8.37956142399909,2.72606203754202e-08,1.76285345094384e-06,1.57186968948329e-06,AEBP1/TGFBI/MMP9/LRRC15/ANTXR1/SPARC/SERPINH1/FN1/ITGA11/CTSK/LUM/MMP13/COMP,13
GO:0061134,peptidase regulator activity,19/388,167/14822,0.11377245508982,4.34622507562195,7.12987210361835,7.862530250189e-08,4.57599260561e-06,4.0802393824665e-06,SPINK1/CST2/PI3/TIMP2/BST2/NLRP12/TIMP1/C5/COL4A3/ANOS1/CSTA/SERPINH1/FN1/NGF/CST4/SFRP2/SLPI/SERPINB5/SERPINI2,19
