ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-1474244,Extracellular matrix organization,37/271,294/9491,0.125850340136054,4.40754825915606,10.1752450777211,1.51786509950699e-14,1.02607680726672e-11,9.57053889057563e-12,COL24A1/KLK7/TIMP2/MMP3/ADAMTS18/PXDN/TIMP1/COL8A2/COL5A1/COL19A1/COL16A1/MMP9/COL4A2/MMP11/COL1A2/ACTA2/COL4A3/ADAMTS2/BGN/COL3A1/SNTG2/HTRA1/COL5A2/COL1A1/SPARC/SERPINH1/FN1/ICAM1/ITGA11/CTSK/FGA/LUM/COL12A1/MMP13/MMP10/EMILIN1/COMP,37
R-HSA-1442490,Collagen degradation,17/271,59/9491,0.288135593220339,10.0911251485396,12.0086458523532,3.20036804807468e-13,1.08172440024924e-10,1.00895813726144e-10,MMP3/COL8A2/COL5A1/COL19A1/COL16A1/MMP9/COL4A2/MMP11/COL1A2/COL4A3/COL3A1/COL5A2/COL1A1/CTSK/COL12A1/MMP13/MMP10,17
R-HSA-1474228,Degradation of the extracellular matrix,23/271,127/9491,0.181102362204724,6.34259232356103,10.39143403124,9.47923594457271e-13,2.13598783284372e-10,1.99230257221019e-10,KLK7/TIMP2/MMP3/ADAMTS18/TIMP1/COL8A2/COL5A1/COL19A1/COL16A1/MMP9/COL4A2/MMP11/COL1A2/COL4A3/COL3A1/HTRA1/COL5A2/COL1A1/FN1/CTSK/COL12A1/MMP13/MMP10,23
R-HSA-1474290,Collagen formation,18/271,85/9491,0.211764705882353,7.41645322335576,10.1871874931657,1.96522970095367e-11,3.32123819461171e-09,3.09782260755592e-09,COL24A1/MMP3/PXDN/COL8A2/COL5A1/COL19A1/COL16A1/MMP9/COL4A2/COL1A2/COL4A3/ADAMTS2/COL3A1/COL5A2/COL1A1/SERPINH1/COL12A1/MMP13,18
R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,14/271,57/9491,0.245614035087719,8.60192917718651,9.86882850744178,4.39260063427586e-10,5.93879605754096e-08,5.53930058932893e-08,COL24A1/MMP3/PXDN/COL8A2/COL5A1/MMP9/COL4A2/COL1A2/COL4A3/COL3A1/COL5A2/COL1A1/COL12A1/MMP13,14
R-HSA-8948216,Collagen chain trimerization,12/271,41/9491,0.292682926829268,10.250382503825,10.1762555928987,8.7038943336575e-10,9.80638761592079e-08,9.1467240453699e-08,COL24A1/COL8A2/COL5A1/COL19A1/COL16A1/COL4A2/COL1A2/COL4A3/COL3A1/COL5A2/COL1A1/COL12A1,12
R-HSA-1650814,Collagen biosynthesis and modifying enzymes,14/271,64/9491,0.21875,7.66109317343173,9.16644702846228,2.28363226891933e-09,2.20533630541352e-07,2.05698605877095e-07,COL24A1/COL8A2/COL5A1/COL19A1/COL16A1/COL4A2/COL1A2/COL4A3/ADAMTS2/COL3A1/COL5A2/COL1A1/SERPINH1/COL12A1,14
R-HSA-216083,Integrin cell surface interactions,15/271,80/9491,0.1875,6.56665129151292,8.57182734459926,5.838042151443e-09,4.93314561796934e-07,4.60129901146626e-07,COL8A2/COL5A1/COL16A1/COL4A2/COL1A2/COL4A3/COL3A1/COL5A2/COL1A1/FN1/ICAM1/ITGA11/FGA/LUM/COMP,15
R-HSA-1566977,Fibronectin matrix formation,8/271,18/9491,0.444444444444444,15.5653956539565,10.6039351068938,1.36148204570367e-08,1.02262429210631e-06,9.5383362032339e-07,COL5A1/COL4A2/COL1A2/COL4A3/COL3A1/COL5A2/COL1A1/FN1,8
R-HSA-388396,GPCR downstream signalling,35/271,462/9491,0.0757575757575758,2.65319244101532,6.24563878429346,1.0449778078311e-07,7.06404998093822e-06,6.58886007253502e-06,GRPR/CCR9/HCAR2/ADM/KPNA2/GHRL/CCKBR/RGS16/PTGER4/APLN/MMP3/NPY4R/DGKI/NPY4R2/ADM2/RGS13/CCL20/C5/CCL13/RGS4/GPR176/RGS1/CXCR1/S1PR5/C5AR1/FN1/GPHA2/TSHR/TAS2R50/GNA15/OXER1/INSL3/HCAR3/EDNRA/PCP2,35
