ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030198,extracellular matrix organization,42/250,288/14287,0.145833333333333,8.33408333333333,16.7796058340547,7.60344978615803e-27,1.02016495722952e-23,8.74614498265961e-24,ADAMTS6/KLK7/OLFML2B/AEBP1/TGFBI/MMP3/FOXC2/SULF2/ADAMTS18/PXDN/COL8A2/COL5A1/MMP9/COL4A2/ZNF469/MMP11/ADAMTS7/COL1A2/ANTXR1/ADAMTS2/COL3A1/COL5A2/COL1A1/FSCN1/HMCN1/SERPINH1/CTSK/RUNX1/LUM/COL12A1/SULF1/MMP13/MMP10/SFRP2/SERPINB5/POSTN/EMILIN1/ADAMTSL2/ADAMTS12/COMP/FKBP10/MIA,42
GO:0043062,extracellular structure organization,42/250,289/14287,0.145328719723183,8.30524567474049,16.7432179225252,8.7675653128571e-27,1.02016495722952e-23,8.74614498265961e-24,ADAMTS6/KLK7/OLFML2B/AEBP1/TGFBI/MMP3/FOXC2/SULF2/ADAMTS18/PXDN/COL8A2/COL5A1/MMP9/COL4A2/ZNF469/MMP11/ADAMTS7/COL1A2/ANTXR1/ADAMTS2/COL3A1/COL5A2/COL1A1/FSCN1/HMCN1/SERPINH1/CTSK/RUNX1/LUM/COL12A1/SULF1/MMP13/MMP10/SFRP2/SERPINB5/POSTN/EMILIN1/ADAMTSL2/ADAMTS12/COMP/FKBP10/MIA,42
GO:0045229,external encapsulating structure organization,42/250,290/14287,0.144827586206897,8.27660689655173,16.7070052325353,1.01039777870206e-26,1.02016495722952e-23,8.74614498265961e-24,ADAMTS6/KLK7/OLFML2B/AEBP1/TGFBI/MMP3/FOXC2/SULF2/ADAMTS18/PXDN/COL8A2/COL5A1/MMP9/COL4A2/ZNF469/MMP11/ADAMTS7/COL1A2/ANTXR1/ADAMTS2/COL3A1/COL5A2/COL1A1/FSCN1/HMCN1/SERPINH1/CTSK/RUNX1/LUM/COL12A1/SULF1/MMP13/MMP10/SFRP2/SERPINB5/POSTN/EMILIN1/ADAMTSL2/ADAMTS12/COMP/FKBP10/MIA,42
GO:0030199,collagen fibril organization,19/250,67/14287,0.283582089552239,16.2061492537313,16.6492636004353,2.38307268682673e-18,1.80458179209954e-15,1.54711587326356e-15,AEBP1/FOXC2/PXDN/COL5A1/MMP11/ADAMTS7/COL1A2/ADAMTS2/COL3A1/COL5A2/COL1A1/SERPINH1/LUM/COL12A1/SFRP2/EMILIN1/ADAMTS12/COMP/FKBP10,19
GO:0001501,skeletal system development,38/250,462/14287,0.0822510822510823,4.70048484848485,10.7903423860857,1.27056510433713e-15,7.69708340207432e-13,6.59891392084146e-13,TWIST1/HOXD8/HOXC4/TGFBI/MSX2/HOXB7/FOXC2/SULF2/TIMP1/PRELP/MMP9/CCN4/ECM1/CHST11/ADAMTS7/TBX15/COL1A2/HOXB5/BGN/COL3A1/SNAI1/CDH11/COL5A2/COL1A1/SERPINH1/CTSK/RUNX1/LUM/SULF1/MMP13/SFRP2/HOXA5/GLI2/HOXA10/ADAMTS12/COMP/HOXA1/EDNRA,38
GO:0051216,cartilage development,23/250,190/14287,0.121052631578947,6.91791578947368,10.9589869265057,2.63871240036903e-13,1.27272719735327e-10,1.09114281102692e-10,HOXC4/TGFBI/MSX2/SULF2/TIMP1/CCN4/ECM1/CHST11/ADAMTS7/BGN/COL3A1/SNAI1/COL1A1/SERPINH1/CTSK/RUNX1/LUM/SULF1/MMP13/SFRP2/HOXA5/ADAMTS12/COMP,23
GO:0061448,connective tissue development,27/250,273/14287,0.0989010989010989,5.652,10.3568610638311,2.94126456965099e-13,1.27272719735327e-10,1.09114281102692e-10,HOXC4/TGFBI/MSX2/FOXC2/SULF2/TIMP1/COL5A1/PDGFRB/CCN4/ECM1/CHST11/ADAMTS7/ACTA2/BGN/COL3A1/SNAI1/COL1A1/SERPINH1/CTSK/RUNX1/LUM/SULF1/MMP13/SFRP2/HOXA5/ADAMTS12/COMP,27
GO:0032963,collagen metabolic process,15/250,99/14287,0.151515151515152,8.65878787878788,10.2048171152234,1.6892793122091e-10,6.39603379585171e-08,5.48348955686823e-08,MMP3/INHBA/COL5A1/MMP9/MMP11/COL1A2/ADAMTS2/COL1A1/SERPINH1/CTSK/RUNX1/MMP13/MMP10/EMILIN1/RCN3,15
GO:0001503,ossification,27/250,386/14287,0.0699481865284974,3.99739896373057,7.96715673133723,8.85722573322153e-10,2.98094852732534e-07,2.55564630220556e-07,TWIST1/EGR2/ISG15/MSX2/FOXC2/SLC24A3/CLEC11A/CCN4/ECM1/DKK1/ADAMTS7/COL1A2/SNAI1/CDH11/COL1A1/IGFBP3/IGFBP5/ITGA11/RUNX1/MMP13/PDLIM7/SFRP2/GLI2/SEMA7A/ADAMTS12/IFITM1/COMP,27
GO:0043588,skin development,20/250,241/14287,0.0829875518672199,4.74257261410788,7.81970918383596,8.69840109876303e-09,2.63474569281532e-06,2.25883742217352e-06,CDKN2A/FGF7/MSX2/INHBA/COL5A1/DKK1/KRT14/HPSE/COL1A2/ADAMTS2/COL3A1/SNAI1/COL5A2/COL1A1/CSTA/IGFBP5/SCEL/GLI2/LIPN/COMP,20
GO:0002062,chondrocyte differentiation,14/250,113/14287,0.123893805309735,7.08028318584071,8.65974276397721,1.03152131465033e-08,2.84043460188714e-06,2.43517998396399e-06,TGFBI/MSX2/SULF2/CCN4/ECM1/CHST11/ADAMTS7/COL3A1/SERPINH1/RUNX1/SULF1/SFRP2/ADAMTS12/COMP,14
GO:0048706,embryonic skeletal system development,13/250,103/14287,0.12621359223301,7.21285436893204,8.44497954684445,2.79461393258454e-08,7.05407133483213e-06,6.04764260674215e-06,TWIST1/HOXC4/HOXB7/FOXC2/SULF2/CHST11/TBX15/HOXB5/COL1A1/SULF1/HOXA5/HOXA1/EDNRA,13
GO:0002063,chondrocyte development,8/250,34/14287,0.235294117647059,13.4465882352941,9.69671911213038,9.62981260555118e-08,2.24374633709343e-05,1.92362329537609e-05,MSX2/SULF2/ECM1/CHST11/SERPINH1/SULF1/SFRP2/COMP,8
GO:0048705,skeletal system morphogenesis,16/250,197/14287,0.0812182741116751,4.64146192893401,6.8681784037971,3.75539884185166e-07,8.12507363712049e-05,6.96584131041207e-05,TWIST1/HOXD8/HOXC4/MSX2/HOXB7/FOXC2/CHST11/TBX15/HOXB5/COL3A1/COL1A1/SERPINH1/MMP13/HOXA5/COMP/HOXA1,16
GO:0035987,endodermal cell differentiation,8/250,47/14287,0.170212765957447,9.72731914893617,7.99766059426097,1.3703510504918e-06,0.000276719555462643,0.00023723902046058,INHBA/COL5A1/MMP9/COL4A2/DKK1/COL5A2/FN1/COL12A1,8
GO:0001706,endoderm formation,8/250,54/14287,0.148148148148148,8.46637037037037,7.33578107267059,4.07965524501204e-06,0.000730025801164718,0.000625870497983826,INHBA/COL5A1/MMP9/COL4A2/DKK1/COL5A2/FN1/COL12A1,8
GO:0001704,formation of primary germ layer,11/250,112/14287,0.0982142857142857,5.61275,6.540268415883,4.18010181998171e-06,0.000730025801164718,0.000625870497983826,FOXC2/INHBA/COL5A1/MMP9/COL4A2/DKK1/SNAI1/COL5A2/FN1/COL12A1/SFRP2,11
GO:0048704,embryonic skeletal system morphogenesis,9/250,72/14287,0.125,7.1435,6.97423948122165,4.33821869295639e-06,0.000730025801164718,0.000625870497983826,TWIST1/HOXC4/HOXB7/FOXC2/CHST11/TBX15/HOXB5/HOXA5/HOXA1,9
GO:0030574,collagen catabolic process,7/250,40/14287,0.175,10.0009,7.60750764567322,5.26018373448735e-06,0.000838584027987483,0.000718940347533534,MMP3/MMP9/MMP11/ADAMTS2/CTSK/MMP13/MMP10,7
GO:0022617,extracellular matrix disassembly,8/250,59/14287,0.135593220338983,7.7488813559322,6.93224731522807,8.06337522409404e-06,0.00122119817768904,0.00104696561462316,KLK7/MMP3/MMP9/MMP11/FSCN1/CTSK/MMP13/MMP10,8
