ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0031012,extracellular matrix,58/261,427/15029,0.135831381733021,7.82149362477231,19.0106623367564,1.69368101610585e-35,2.62814146553433e-33,2.27826504752202e-33,COL24A1/CDH13/SSC5D/ADAMTS6/OLFML2B/PI3/AEBP1/EDIL3/TGFBI/TIMP2/MMP3/ADAMTS18/PXDN/TIMP1/COL8A2/COL5A1/PRELP/COL16A1/MMP9/COL4A2/CCN4/ECM1/MMP11/ADAMTS7/HPSE/COL1A2/ACTA2/MFGE8/ADAMTS2/BGN/COL3A1/HTRA1/COL5A2/ANOS1/COL1A1/SPARC/THBS2/HMCN1/SERPINH1/FN1/ICAM1/FGA/LUM/COL12A1/SULF1/MMP13/MMP10/LGALS3BP/SFRP2/SLPI/POSTN/SEMA7A/EMILIN1/ADAMTSL2/ESM1/EFNA5/ADAMTS12/COMP,58
GO:0030312,external encapsulating structure,58/261,428/15029,0.135514018691589,7.80321910695742,18.9825716271505,1.93245695995171e-35,2.62814146553433e-33,2.27826504752202e-33,COL24A1/CDH13/SSC5D/ADAMTS6/OLFML2B/PI3/AEBP1/EDIL3/TGFBI/TIMP2/MMP3/ADAMTS18/PXDN/TIMP1/COL8A2/COL5A1/PRELP/COL16A1/MMP9/COL4A2/CCN4/ECM1/MMP11/ADAMTS7/HPSE/COL1A2/ACTA2/MFGE8/ADAMTS2/BGN/COL3A1/HTRA1/COL5A2/ANOS1/COL1A1/SPARC/THBS2/HMCN1/SERPINH1/FN1/ICAM1/FGA/LUM/COL12A1/SULF1/MMP13/MMP10/LGALS3BP/SFRP2/SLPI/POSTN/SEMA7A/EMILIN1/ADAMTSL2/ESM1/EFNA5/ADAMTS12/COMP,58
GO:0098644,complex of collagen trimers,10/261,26/15029,0.384615384615385,22.1470674918951,14.3468902387186,8.7400116271537e-12,7.92427720861935e-10,6.86934247186817e-10,COL8A2/COL5A1/COL16A1/COL4A2/COL1A2/COL3A1/COL5A2/COL1A1/LUM/COL12A1,10
GO:0005581,collagen trimer,14/261,72/15029,0.194444444444444,11.1965730097914,11.5294406925586,1.95101483997073e-11,1.3266900911801e-09,1.15007190566696e-09,COL24A1/C1QTNF6/COL8A2/COL5A1/COL16A1/COL4A2/COL1A2/COL3A1/COL5A2/COL1A1/MARCO/LUM/COL12A1/EMILIN1,14
GO:0005604,basement membrane,14/261,94/15029,0.148936170212766,8.5760984755849,9.79528168093104,8.09795402676136e-10,4.40528699055818e-08,3.81882463577799e-08,COL24A1/TGFBI/PXDN/TIMP1/COL8A2/COL5A1/COL16A1/COL4A2/ACTA2/SPARC/THBS2/HMCN1/FN1/EFNA5,14
GO:0005788,endoplasmic reticulum lumen,22/261,282/15029,0.0780141843971631,4.49224205863971,7.87022335124157,4.30692231968476e-09,1.7450471937265e-07,1.51273440942235e-07,COL24A1/TMEM132A/TIMP1/COL8A2/COL5A1/COL16A1/COL4A2/ADAMTS7/COL1A2/POGLUT2/MFGE8/COL3A1/COL5A2/COL1A1/IGFBP3/SERPINH1/FN1/IGFBP5/FGA/COL12A1/RCN3/FKBP10,22
GO:0005583,fibrillar collagen trimer,6/261,10/15029,0.6,34.5494252873563,14.1082966011641,5.1324917462544e-09,1.7450471937265e-07,1.51273440942235e-07,COL5A1/COL1A2/COL3A1/COL5A2/COL1A1/LUM,6
GO:0098643,banded collagen fibril,6/261,10/15029,0.6,34.5494252873563,14.1082966011641,5.1324917462544e-09,1.7450471937265e-07,1.51273440942235e-07,COL5A1/COL1A2/COL3A1/COL5A2/COL1A1/LUM,6
GO:0001533,cornified envelope,6/261,37/15029,0.162162162162162,9.3376825100963,6.75035221814187,3.83175329557707e-05,0.00115804099599663,0.00100387454761317,KLK7/PI3/KRT14/CSTA/SCEL/SERPINB5,6
GO:0031091,platelet alpha granule,7/261,80/15029,0.0875,5.03845785440613,4.81464734855536,0.000474383267607887,0.0129032248789345,0.011185458099386,TIMP1/ISLR/SPARC/THBS2/FN1/FGA/PCDH7,7
