ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0005201,extracellular matrix structural constituent,29/248,156/14822,0.185897435897436,11.1103701406121,16.5595574313909,2.54226521052372e-22,1.10334310136729e-19,9.68736848641669e-20,COL24A1/AEBP1/EDIL3/TGFBI/PXDN/COL8A2/COL5A1/PRELP/COL16A1/COL4A2/ECM1/COL1A2/MFGE8/BGN/COL3A1/COL5A2/ANOS1/COL1A1/SPARC/THBS2/HMCN1/FN1/FGA/LUM/COL12A1/POSTN/EMILIN1/ESM1/COMP,29
GO:0005518,collagen binding,13/248,70/14822,0.185714285714286,11.0994239631336,11.0482980937882,1.19810170445533e-10,2.59988069866807e-08,2.28269903690964e-08,AEBP1/TGFBI/MMP9/LRRC15/ANTXR1/SPARC/SERPINH1/FN1/ITGA11/CTSK/LUM/MMP13/COMP,13
GO:0030020,extracellular matrix structural constituent conferring tensile strength,10/248,40/14822,0.25,14.9415322580645,11.5172585424785,7.82745641069958e-10,1.13237202741454e-07,9.94224287955525e-08,COL24A1/COL8A2/COL5A1/COL16A1/COL4A2/COL1A2/COL3A1/COL5A2/COL1A1/COL12A1,10
GO:0005178,integrin binding,16/248,147/14822,0.108843537414966,6.50515690147027,8.75013039798214,3.22581985831868e-09,3.50001454627577e-07,3.0730178650299e-07,ISG15/EDIL3/TGFBI/COL5A1/COL16A1/CCN4/MFGE8/THY1/COL3A1/FN1/ICAM1/SFRP2/SEMA7A/EMILIN1/ESM1/COMP,16
GO:0030545,signaling receptor regulator activity,24/248,391/14822,0.061381074168798,3.66850919891098,6.97564034848604,4.27728810740573e-08,3.52830492759791e-06,3.09785686100035e-06,CLEC12A/PGF/CD80/ADM/FGF7/APLN/PXDN/INHBA/TIMP1/CCL20/OSM/CLEC11A/DKK1/CCL13/FN1/IGFBP5/NGF/SFRP2/TFF1/SEMA7A/DKK3/EFNA5/INSL3/MIA,24
GO:0061135,endopeptidase regulator activity,14/248,133/14822,0.105263157894737,6.2911714770798,7.99570482391437,4.87784091372983e-08,3.52830492759791e-06,3.09785686100035e-06,CST2/PI3/TIMP2/BST2/NLRP12/TIMP1/ANOS1/CSTA/SERPINH1/NGF/CST4/SFRP2/SLPI/SERPINB5,14
GO:0061134,peptidase regulator activity,15/248,167/14822,0.0898203592814371,5.36821518253815,7.40533244007335,1.35077229382362e-07,8.37478822170646e-06,7.35307624607747e-06,CST2/PI3/TIMP2/BST2/NLRP12/TIMP1/ANOS1/CSTA/SERPINH1/FN1/NGF/CST4/SFRP2/SLPI/SERPINB5,15
GO:0004866,endopeptidase inhibitor activity,12/248,105/14822,0.114285714285714,6.83041474654378,7.82095280990284,1.81904232273463e-07,9.86830460083537e-06,8.6643858003939e-06,CST2/PI3/TIMP2/BST2/TIMP1/ANOS1/CSTA/SERPINH1/NGF/CST4/SLPI/SERPINB5,12
GO:0005539,glycosaminoglycan binding,16/248,198/14822,0.0808080808080808,4.8295861844249,7.07663123680236,2.21948267595137e-07,1.07028386818099e-05,9.39710793794614e-06,PGF/FGF7/SULF2/COL5A1/PRELP/CCN4/DPYSL3/BGN/ANOS1/THBS2/FN1/SULF1/H1-1/POSTN/COMP/NRP2,16
GO:0048407,platelet-derived growth factor binding,5/248,10/14822,0.5,29.883064516129,11.9182263732472,2.9644082412466e-07,1.20138892416086e-05,1.05482122373571e-05,COL5A1/PDGFRB/COL1A2/COL3A1/COL1A1,5
GO:0030414,peptidase inhibitor activity,12/248,110/14822,0.109090909090909,6.51994134897361,7.5800166426079,3.04499496907131e-07,1.20138892416086e-05,1.05482122373571e-05,CST2/PI3/TIMP2/BST2/TIMP1/ANOS1/CSTA/SERPINH1/NGF/CST4/SLPI/SERPINB5,12
GO:0004222,metalloendopeptidase activity,11/248,94/14822,0.117021276595745,6.99390871654084,7.60461750893922,4.6819958629622e-07,1.69332183710466e-05,1.48673903718624e-05,ADAMTS6/KLK7/MMP3/ADAMTS18/MMP9/MMP11/ADAMTS7/ADAMTS2/MMP13/MMP10/ADAMTS12,11
GO:0048018,receptor ligand activity,21/248,353/14822,0.0594900849858357,3.55549209540345,6.3389576131066,5.21340769518128e-07,1.74047610746821e-05,1.52814055518674e-05,PGF/CD80/ADM/FGF7/APLN/INHBA/TIMP1/CCL20/OSM/CLEC11A/DKK1/CCL13/FN1/IGFBP5/NGF/SFRP2/TFF1/SEMA7A/EFNA5/INSL3/MIA,21
