ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-1474244,Extracellular matrix organization,34/182,294/9491,0.115646258503401,6.03076175525155,12.2518482117814,1.12599915512068e-17,6.37315521798305e-15,5.65370102097436e-15,COL24A1/KLK7/TIMP2/MMP3/ADAMTS18/PXDN/TIMP1/COL8A2/COL5A1/COL16A1/MMP9/COL4A2/MMP11/COL1A2/ACTA2/ADAMTS2/BGN/COL3A1/HTRA1/COL5A2/COL1A1/SPARC/SERPINH1/FN1/ICAM1/ITGA11/CTSK/FGA/LUM/COL12A1/MMP13/MMP10/EMILIN1/COMP,34
R-HSA-1474228,Degradation of the extracellular matrix,21/182,127/9491,0.165354330708661,8.62295578437311,12.092381599142,2.41002979734333e-14,6.82038432648164e-12,6.05044322806721e-12,KLK7/TIMP2/MMP3/ADAMTS18/TIMP1/COL8A2/COL5A1/COL16A1/MMP9/COL4A2/MMP11/COL1A2/COL3A1/HTRA1/COL5A2/COL1A1/FN1/CTSK/COL12A1/MMP13/MMP10,21
R-HSA-1442490,Collagen degradation,15/182,59/9491,0.254237288135593,13.2580555038182,13.2057471718889,1.86665487893599e-13,3.52175553825923e-11,3.12419079737708e-11,MMP3/COL8A2/COL5A1/COL16A1/MMP9/COL4A2/MMP11/COL1A2/COL3A1/COL5A2/COL1A1/CTSK/COL12A1/MMP13/MMP10,15
R-HSA-1474290,Collagen formation,16/182,85/9491,0.188235294117647,9.81616031027796,11.415731337427,4.28328158978852e-12,6.06084344955075e-10,5.37664557455032e-10,COL24A1/MMP3/PXDN/COL8A2/COL5A1/COL16A1/MMP9/COL4A2/COL1A2/ADAMTS2/COL3A1/COL5A2/COL1A1/SERPINH1/COL12A1/MMP13,16
R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,13/182,57/9491,0.228070175438597,11.8934837092732,11.533830511576,3.61964207825073e-11,4.09743483257982e-09,3.63488267647494e-09,COL24A1/MMP3/PXDN/COL8A2/COL5A1/MMP9/COL4A2/COL1A2/COL3A1/COL5A2/COL1A1/COL12A1/MMP13,13
R-HSA-216083,Integrin cell surface interactions,14/182,80/9491,0.175,9.12596153846154,10.2051444001076,2.75416897119946e-10,2.59809939616482e-08,2.30480456010902e-08,COL8A2/COL5A1/COL16A1/COL4A2/COL1A2/COL3A1/COL5A2/COL1A1/FN1/ICAM1/ITGA11/FGA/LUM/COMP,14
R-HSA-1650814,Collagen biosynthesis and modifying enzymes,12/182,64/9491,0.1875,9.77781593406593,9.85160494809862,2.36984766722719e-09,1.91619111378656e-07,1.6998756951389e-07,COL24A1/COL8A2/COL5A1/COL16A1/COL4A2/COL1A2/ADAMTS2/COL3A1/COL5A2/COL1A1/SERPINH1/COL12A1,12
R-HSA-8948216,Collagen chain trimerization,10/182,41/9491,0.24390243902439,12.7191101581346,10.5144835466746,3.51777952284184e-09,2.4888290124106e-07,2.20786951630994e-07,COL24A1/COL8A2/COL5A1/COL16A1/COL4A2/COL1A2/COL3A1/COL5A2/COL1A1/COL12A1,10
R-HSA-1566977,Fibronectin matrix formation,7/182,18/9491,0.388888888888889,20.2799145299145,11.4476112624586,2.26265883492824e-08,1.42296100063265e-06,1.26232545527575e-06,COL5A1/COL4A2/COL1A2/COL3A1/COL5A2/COL1A1/FN1,7
R-HSA-1592389,Activation of Matrix Metalloproteinases,8/182,29/9491,0.275862068965517,14.3857521788556,10.0940997575888,4.76958323808882e-08,2.69958411275827e-06,2.39483284691407e-06,TIMP2/MMP3/TIMP1/MMP9/MMP11/CTSK/MMP13/MMP10,8
R-HSA-3000178,ECM proteoglycans,11/182,69/9491,0.159420289855072,8.31350533524446,8.52502896060166,6.6122168110607e-08,3.40228610460033e-06,3.01820805634063e-06,COL5A1/COL4A2/COL1A2/BGN/COL3A1/COL5A2/COL1A1/SPARC/FN1/LUM/COMP,11
R-HSA-8874081,MET activates PTK2 signaling,7/182,29/9491,0.241379310344828,12.5875331564987,8.73807568399682,9.2824573164104e-07,4.16368907841977e-05,3.69365759792864e-05,COL24A1/COL5A1/COL1A2/COL3A1/COL5A2/COL1A1/FN1,7
R-HSA-9734767,Developmental Cell Lineages,13/182,128/9491,0.1015625,5.29631696428571,6.84244117584815,9.56324346633517e-07,4.16368907841977e-05,3.69365759792864e-05,COL24A1/KLK7/FGF7/COL5A1/KRT14/COL1A2/ACTA2/MFGE8/COL3A1/COL5A2/COL1A1/FN1/SLPI,13
R-HSA-5083635,Defective B3GALTL causes PpS,7/182,35/9491,0.2,10.4296703296703,7.81437205970915,3.62871770196857e-06,0.000146703872808158,0.000130142732619474,ADAMTS6/ADAMTS18/ADAMTS7/ADAMTS2/THBS2/ADAMTSL2/ADAMTS12,7
R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,7/182,36/9491,0.194444444444444,10.1399572649573,7.68213498459549,4.43224928914918e-06,0.000167243539843896,0.000148363713047309,ADAMTS6/ADAMTS18/ADAMTS7/ADAMTS2/THBS2/ADAMTSL2/ADAMTS12,7
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,11/182,106/9491,0.10377358490566,5.41162139747045,6.38632937760517,5.44705107502919e-06,0.000192689431779158,0.000170937063341377,CD300C/CD300LB/TREM1/COL1A2/COL3A1/COL1A1/ICAM1/CD300LF/LILRA4/LILRA2/IFITM1,11
R-HSA-8875878,MET promotes cell motility,7/182,40/9491,0.175,9.12596153846154,7.20084000624308,9.27826849596205e-06,0.000304848892957178,0.000270435041734376,COL24A1/COL5A1/COL1A2/COL3A1/COL5A2/COL1A1/FN1,7
R-HSA-3000170,Syndecan interactions,6/182,27/9491,0.222222222222222,11.5885225885226,7.70366109528779,9.69484111877953e-06,0.000304848892957178,0.000270435041734376,COL5A1/COL1A2/COL3A1/COL5A2/COL1A1/FN1,6
R-HSA-3000480,Scavenging by Class A Receptors,5/182,17/9491,0.294117647058824,15.3377504848093,8.27286759805593,1.25961439039464e-05,0.00037523249734914,0.00033287316577188,COL4A2/COL1A2/COL3A1/COL1A1/MARCO,5
R-HSA-2173782,Binding and Uptake of Ligands by Scavenger Receptors,7/182,43/9491,0.162790697674419,8.48926654740608,6.88209808849904,1.52771893668362e-05,0.000432344459081464,0.000383537859367414,SSC5D/COL4A2/COL1A2/COL3A1/COL1A1/SPARC/MARCO,7
