Symbol,n_studies,method_used,pooled_log2FC,pooled_se,rem_pvalue,I2,tau2,Q,Q_pval,vote_up,vote_down,fisher_pvalue,rem_padj,fisher_padj
IZUMO1,3,REML,-3.62846304481233,0.368755013355515,7.58871299007927e-23,12.933828646006,0.0536752797883958,2.39024610769483,0.302666707587669,0,3,8.4880842127586e-25,1.20728834959171e-18,2.83096292957603e-23
FAM13A,7,REML,-0.913548128437008,0.0991088840901993,3.03764778809747e-20,5.17736639123083,0.00383927864743374,7.13979918626072,0.308112036679994,0,3,5.79801419426432e-19,2.41629693304213e-16,8.0279032042255e-18
NADK2,7,REML,-0.749481764409544,0.0861351504012589,3.28305779170914e-18,0.0131759686317987,7.13965178860372e-06,6.16265146507976,0.405218778779091,0,0,4.59030384150032e-15,1.74100554694336e-14,3.56752045991346e-14
LIFR,7,REML,-0.981528390523493,0.115940194405841,2.54364756443803e-17,0.000153081825393698,1.54906403634731e-07,4.71422833854695,0.580952358639585,0,3,7.8421848459613e-14,1.01167222756612e-13,5.06542097906611e-13
PKHD1L1,6,REML,-1.99374026237077,0.242853823916317,2.21869425246133e-16,33.165842896575,0.114582001076071,7.36423961735045,0.194929776089277,0,6,3.5985409461414e-22,7.05944137248145e-13,8.19015563836388e-21
SLC6A14,5,REML,3.26069331271893,0.403461838640195,6.38236428188343e-16,2.8908362840473,0.0240567362554643,4.94457060187635,0.293032329756342,4,0,1.51179384240183e-14,1.69228388934139e-12,1.08877900582936e-13
SPINK1,7,REML,-1.91180632994834,0.239644976201942,1.4913256628391e-15,8.76826901572949e-05,3.85643914835032e-07,7.3908290005149,0.286209946513769,0,5,6.19744120094215e-13,3.38935713858674e-12,3.45583918912684e-12
TUBB3,7,REML,1.8598298313784,0.234776862278295,2.34301395963665e-15,35.9063569815955,0.132069921457657,9.1330293979463,0.166233660479006,6,0,2.36363552863704e-24,4.65937613548244e-12,7.49065291336386e-23
ITGB1BP1,7,REML,0.576417826313734,0.0751082706774818,1.66075420228589e-14,0,0,5.85850618042276,0.439225691385888,0,0,1.68938539499143e-11,2.93565984490736e-11,7.65928533739491e-11
ANKRD62,4,REML,-3.51035918755984,0.459426502055736,2.15974116075336e-14,46.1445335865401,0.385797711086748,5.43364510687598,0.142661682287059,0,4,1.25169179038565e-24,3.43593221264253e-11,4.0805665355011e-23
LNX1,7,REML,-0.637373220710069,0.0856920227611464,1.0225758035491e-13,13.3386765677175,0.00703196641234864,7.95085925777077,0.241725641327493,0,1,2.40799939984337e-14,1.47892349624205e-10,1.69208756413905e-13
SLC47A2,3,REML,-2.1477496926936,0.29250808041138,2.09591717905948e-13,0.0016092946375174,5.26765497612936e-06,2.99697302608988,0.223468120419814,0,2,3.7005693775133e-12,2.77866220013811e-10,1.84842569001128e-11
OR6T1,2,REML,-4.73427953589972,0.650294421927327,3.33302519296645e-13,0,0,0.0944684914385705,0.75857144861624,0,2,2.14965652799527e-12,4.07885367653102e-10,1.1053292082701e-11
ZFYVE9,7,REML,-0.480243148818926,0.0671676530256719,8.68303424599995e-13,0,0,3.06010911751623,0.801265582404384,0,0,1.66060521120095e-09,9.86702798711522e-10,5.47535094404061e-09
CST2,5,REML,3.41791883729141,0.492384983111312,3.87799402915123e-12,14.114068414748,0.175465710372611,5.83252913451641,0.212009056838741,3,0,7.55269415009088e-13,3.88907568268486e-09,4.15476525704688e-12
ERICH3,2,REML,3.91158942645871,0.563601248509786,3.91132132270777e-12,24.8352181087842,0.157898426131771,1.33041029966305,0.248732238173915,2,0,4.75173633975648e-15,3.88907568268486e-09,3.68219062002853e-14
MCOLN3,7,REML,-1.3764784929463,0.200742269262504,7.03492057157977e-12,20.3857300902304,0.0570642230394934,9.32669249730997,0.15602151697205,0,4,2.48133476264274e-13,6.58344419842721e-09,1.46913117747984e-12
ROS1,2,REML,3.21355229377645,0.477538678232678,1.70355511857295e-11,0,0,0.446513355543251,0.503995373633858,2,0,8.83493338371551e-11,1.5056587989654e-08,3.56647945195458e-10
PEX7,7,REML,-0.69890467536225,0.104011313703173,1.82341329319778e-11,0.00128542465000157,1.03008748982261e-06,6.59427013607894,0.360002151962413,0,1,5.07661950304583e-09,1.52677274113071e-08,1.55794636716736e-08
GRAMD1C,7,REML,-0.905581676712205,0.135717588561489,2.51405433101939e-11,0.000722681046611473,9.84312525144089e-07,6.66846132554699,0.352598347659206,0,1,6.0607791869541e-09,1.99980451760938e-08,1.84114829263419e-08
UFL1,7,REML,-0.442613234794734,0.0664796849789676,2.77820512135257e-11,0,0,2.78547776676402,0.835249752819021,0,0,6.90118772471638e-08,2.10468882264752e-08,1.76484480810984e-07
PLXDC1,7,REML,0.813571046552064,0.123127221744618,3.90694257958677e-11,0.00090712658083642,9.91949082418181e-07,5.97880720980114,0.425568304366889,1,0,2.03181459411401e-08,2.82525224993845e-08,5.66096994356562e-08
GRPR,3,REML,-2.84341698351489,0.436987880470192,7.67401752881303e-11,0,0,1.49071977823145,0.47456347897265,0,3,1.12689338622197e-09,5.30808455938637e-08,3.81441423008625e-09
RAB3D,7,REML,-0.906633120940264,0.141187192838752,1.34940763502072e-10,4.5674052980452,0.0064983052555822,7.10827739974173,0.310949813437213,0,2,5.36574342118461e-09,8.94488586064361e-08,1.64160792476204e-08
SWT1,7,REML,-0.755201047440765,0.118037263780041,1.57437218472763e-10,31.1675619161066,0.029117876726448,9.17107336548032,0.164183152507004,0,2,1.16712415122928e-13,1.00186748347328e-07,7.34194469035456e-13
CHST9,7,REML,-1.20321286019534,0.190403472404313,2.62784716531903e-10,0.00109802235452995,2.932499399328e-06,6.85691640470507,0.334282536678996,0,3,3.83778782378374e-08,1.60793925204079e-07,1.02270295625755e-07
ELFN2,2,REML,3.3815054239742,0.540767366058854,4.02227002716191e-10,0,0,0.356149112999775,0.550652737111854,2,0,1.98271839080584e-09,2.32181379200868e-07,6.46506802199837e-09
PANK2,7,REML,0.405910217615884,0.0649384588443763,4.0864156248817e-10,0.00369898984502854,1.15781729376985e-06,5.28805975025637,0.507433115124217,0,0,1.38322308656022e-07,2.32181379200868e-07,3.3761087689655e-07
CCR9,2,REML,-2.80649909830708,0.450403008969775,4.63217872189827e-10,37.2379038480799,0.165027084707367,1.59331835823238,0.20685267297606,0,2,5.43980671700022e-16,2.54114935471309e-07,4.84947053161838e-15
ARHGAP1,7,REML,0.759369365887448,0.122814097985013,6.28629239844861e-10,40.0068959519003,0.0404146806724274,9.71468419642269,0.13719297277042,1,0,1.3473558197283e-16,3.3336208588973e-07,1.29282772835088e-15
HCAR2,3,REML,2.67225944036942,0.432735764737335,6.60512161272435e-10,0,0,1.143391245843,0.564567333325262,3,0,9.44044768163059e-09,3.38526631346547e-07,2.77611981824512e-08
ARSL,7,REML,-1.10922396738014,0.179763645799403,6.80926029485794e-10,0,0,5.70252160010207,0.457324751759941,0,3,2.9417868098742e-07,3.38526631346547e-07,6.85225276109643e-07
