Symbol,Degree,Betweenness,Closeness,Eigenvector,Log2FC
FN1,70,0.0153620466322633,0.61864406779661,1,2.10972426775836
COL1A1,48,0.00242748337326245,0.496598639455782,0.969004305750187,2.21993815042777
COL1A2,42,0.0011024855577072,0.477124183006536,0.946917142342298,1.81322189209474
COL3A1,38,0.0023450471327284,0.480263157894737,0.892119700639359,1.77977938041074
COL5A1,36,0.00178285053202949,0.474025974025974,0.833402037085973,1.72433774916383
MMP9,34,0.0030330288832787,0.493243243243243,0.539422215913711,1.56415214587033
COL5A2,32,0.000513849114928678,0.464968152866242,0.807190696519643,1.66783148150925
LUM,32,0.00295322306083739,0.477124183006536,0.739646719316885,1.35240935604159
ALB,28,0.00484789755981901,0.462025316455696,0.288677139652588,-3.01251895881514
BGN,26,0.00126662630838729,0.453416149068323,0.654578449794413,1.74605196492589
THBS2,24,0.000131502653669164,0.447852760736196,0.687871193904678,2.09946285639524
COL16A1,22,0.000413587180588534,0.419540229885057,0.562323722191244,1.22804943310168
COL12A1,22,3.59940476656901e-05,0.386243386243386,0.626850321974826,1.43466881887933
POSTN,22,9.35468572905921e-05,0.442424242424243,0.641348684659421,2.73718945016131
COL4A2,20,0.000150092320370667,0.439759036144578,0.532954705176038,1.04022487090568
SPARC,18,0.00019675562328318,0.450617283950617,0.524644487528235,1.50491886114169
SERPINH1,18,0.000146222216004547,0.426900584795322,0.522788626707549,1.28159931996588
ITGA11,18,0.0011567520166688,0.437125748502994,0.421497316142154,1.65192417807578
MX2,16,9.36395621273028e-05,0.365384615384615,4.09037425700393e-17,1.19087429612035
IFI6,16,9.36395621273028e-05,0.365384615384615,5.11296782125491e-17,1.90045406906538
ISG15,16,9.36395621273028e-05,0.365384615384615,8.72613174827505e-17,1.65026294744614
TIMP1,16,0.000383048243782597,0.442424242424243,0.265568561009572,1.63610885914348
PDGFRB,16,0.00214209100455591,0.424418604651163,0.215134063885454,1.08993215859173
MX1,16,9.36395621273028e-05,0.365384615384615,6.54459881120629e-17,1.08191977179563
MMP3,14,0.000149055563204932,0.403314917127072,0.179017615816818,1.59539102047428
OASL,14,1.9589866553829e-06,0.296875,3.51090457059504e-17,1.96189524063754
COL4A3,14,0.00075451770308255,0.366834170854271,0.315103196311505,-1.02452838063872
IFITM1,14,5.64188156750276e-05,0.358490566037736,6.95363623690668e-17,1.11186827848259
IFI44L,14,1.9589866553829e-06,0.296875,3.13595359703635e-17,1.34058125573963
CD300C,12,0.000552434236817979,0.41304347826087,5.32600814714054e-17,1.02634061668023
BST2,12,0.00103434495404217,0.431818181818182,2.04518712850197e-17,1.25417098216236
OAS3,12,0,0.292307692307692,5.01070846482982e-17,1.20822505046523
ICAM1,12,0.00249183102564705,0.424418604651163,0.162991208378613,1.15522166314321
TGFBI,10,7.64004795599333e-06,0.410112359550562,0.316157821290772,1.79363201551535
TIMP2,10,2.09611572125971e-05,0.398907103825137,0.156282604110611,1.04493750474782
ACTA2,10,6.61624421585869e-05,0.361386138613861,0.281895339948329,1.09969497462838
ADAMTS2,10,0,0.354368932038835,0.342213394078045,1.3888769880005
SNAI1,10,0.00327934366111098,0.407821229050279,0.120687363068449,1.2031866007171
FCER1G,10,0.000752250875667035,0.422222222222222,6.21758191097186e-17,1.23540782911365
MMP13,10,0.000135251703665395,0.407821229050279,0.189289273809997,2.71040990736568
MMP10,10,0.000848633019111874,0.396739130434783,0.123880702542664,2.51179649150513
COMP,10,0.00169021368626437,0.405555555555556,0.161615905086499,2.82966640359254
