Symbol,Module,Degree,Log2FC
IZUMO1,1,0,-3.62846304481233
PKHD1L1,2,0,-1.99374026237077
SLC6A14,3,0,3.26069331271893
SPINK1,4,0,-1.91180632994834
TUBB3,5,0,1.8598298313784
ANKRD62,6,0,-3.51035918755984
SLC47A2,7,0,-2.1477496926936
OR6T1,8,0,-4.73427953589972
CST2,9,2,3.41791883729141
CST4,9,2,3.6830956646188
ERICH3,10,0,3.91158942645871
MCOLN3,11,0,-1.3764784929463
ROS1,12,2,3.21355229377645
TAS2R50,12,2,1.08911875240897
GNA15,13,4,1.37646277678812
EDNRA,13,4,1.22044764957937
GRPR,13,2,-2.84341698351489
KCNJ2,13,2,1.21307418755376
CHST9,14,0,-1.20321286019534
ELFN2,15,0,3.3815054239742
CCR9,16,6,-2.80649909830708
CCL20,16,6,1.59229913691707
CCL13,16,6,1.59898863535967
CXCR1,16,6,1.96249945938212
GHRL,17,6,-1.27563675253929
HCAR2,17,4,2.67225944036942
APLN,17,2,2.45347575657318
AGRP,17,2,-1.28252223843732
HCAR3,17,2,1.72064097392021
ARSL,18,2,-1.10922396738014
ANOS1,18,2,1.60443484536115
FN1,19,70,2.10972426775836
MMP9,19,34,1.56415214587033
ALB,19,28,-3.01251895881514
TIMP1,19,16,1.63610885914348
PDGFRB,19,16,1.08993215859173
MMP3,19,14,1.59539102047428
ICAM1,19,12,1.15522166314321
TIMP2,19,10,1.04493750474782
MMP13,19,10,2.71040990736568
MMP10,19,10,2.51179649150513
PGF,19,8,1.01479532574284
FGF7,19,8,1.03930655516796
IGFBP3,19,8,2.10121453778206
PXDN,19,6,1.22702548874043
NGF,19,6,2.15201274110224
CTSK,19,6,1.28715991910915
CD80,19,4,1.45476675973538
OSM,19,4,1.78568100497288
ECM1,19,4,1.69580456159229
IGFBP5,19,4,1.45564782300552
FGA,19,4,2.54934529020382
EFNA5,19,4,1.41576388033585
AZGP1,19,2,-1.59466008559443
MMP11,19,2,2.59321546336884
IL31RA,19,2,1.92782253594971
AMY2B,19,2,-2.86776561821109
MFGE8,19,2,1.00667207548658
GPT,19,2,-1.63602758265096
EPHA8,19,2,-1.59323626360337
LGALS3BP,19,2,1.09509469322562
ICOS,19,2,1.7314772331181
MIA,19,2,2.52213049549163
NRP2,19,2,1.23100726572978
LYPD3,20,0,2.25446034561676
GLRA1,21,0,-1.71005311198968
CLEC12A,22,0,1.49942883276707
MYPN,23,0,-2.88046675258636
NPTX1,24,0,1.64487905275314
FAM216B,25,0,2.82186208203157
CDH13,26,4,1.25115305373434
CDKN2A,26,2,1.75988656335668
CDH11,26,2,1.81145652410037
COL24A1,27,0,1.19970952615933
PMFBP1,28,0,-1.33401539302266
SYCP2,29,2,-1.28436447968791
TEX11,29,2,-2.14025376126455
STXBP6,30,0,-1.03352811598895
E2F7,31,0,1.7040745830198
SNAI1,32,10,1.2031866007171
TWIST1,32,6,1.62210733021307
FOXC2,32,4,1.65808714757914
MSX2,32,2,2.67821520739518
USP17L2,32,2,-1.47065937259305
CD160,33,0,-1.44123471966349
ROR2,34,0,1.25640439137261
CEACAM16,35,0,-1.546982128082
KRTAP5-1,36,0,-1.37271003528912
MX2,37,16,1.19087429612035
IFI6,37,16,1.90045406906538
ISG15,37,16,1.65026294744614
MX1,37,16,1.08191977179563
OASL,37,14,1.96189524063754
IFITM1,37,14,1.11186827848259
IFI44L,37,14,1.34058125573963
BST2,37,12,1.25417098216236
OAS3,37,12,1.20822505046523
DLEU7,38,0,1.140703598421
MYCL,39,0,-1.74278003152385
CD300C,40,12,1.02634061668023
FCER1G,40,10,1.23540782911365
CD300LB,40,8,1.04951363231033
LILRA4,40,6,1.00133207384565
C5,40,4,-1.00604726023055
C5AR1,40,4,1.1666301297094
CD300LF,40,4,1.33243625871957
LILRA2,40,4,1.47416771604941
MAP1A,40,2,1.14106704496592
C6,40,2,-1.15202212426494
TREM1,40,2,2.00500513965664
C1QTNF6,41,0,1.27177104199795
BSPRY,42,0,-1.05535123796699
MIOX,43,4,-1.20427852391289
ADM2,43,4,-1.45838663727076
IMPA2,43,2,-1.32904200439289
ADM,43,2,1.48066434892113
PRB1,44,6,-1.54325090542679
PRB4,44,4,-1.83270526194833
PRB3,44,4,-1.41912019594758
PRB2,44,2,-1.99332376214222
TBX18,45,0,1.4279670195557
SSC5D,46,0,1.26532666527268
HSD17B3,47,4,-1.22360987307053
HSD17B8,47,2,-1.03145116419385
INSL3,47,2,1.23453684440586
S100A13,48,0,-1.21063756992011
SLC25A45,49,0,-1.51238967731433
ADAMTS6,50,0,1.56939012070779
ST6GALNAC5,51,0,1.37692644054838
GCKR,52,0,1.27771569427598
C16orf96,53,0,-1.58036300509594
CKS2,54,4,1.34485804213727
KPNA2,54,2,1.04195857051229
GMNN,54,2,-1.55585545380916
DERL3,55,2,-1.0271629619133
SEL1L,55,2,-1.18438433696239
HOXD8,56,0,1.03748047093931
RP1L1,57,0,2.12658134110772
SCD,58,0,1.22319443965292
RNF145,59,0,1.00194664085761
TFF2,60,0,2.30607161947211
EGR2,61,2,1.24080985878963
RRAD,61,2,1.55453680626386
ANGPTL8,62,0,-1.07581819291562
ANKRD20A1,63,0,-1.14388109168988
TMEM132A,64,0,1.24794011685698
CAVIN4,65,0,1.70819769814334
KLK7,66,0,4.54417228659178
DPP10,67,4,-2.0284871475468
IGLON5,67,2,1.98399410723362
KCND2,67,2,1.73093487632896
FNDC10,68,0,1.10502707694354
TPRN,69,0,-1.03543610305927
MARVELD1,70,2,1.03384541935549
LIPN,70,2,1.77690591093365
PRSS50,71,0,-1.72015745600063
HOXA5,72,8,1.60176566877289
HOXC4,72,6,1.72984449869164
HOXB7,72,6,2.46380142186565
HOXB5,72,6,1.63064956737542
HOXA10,72,2,1.64579136562178
ARG1,73,0,-1.74006287932609
CCKBR,74,0,-3.02691222262333
SYT3,75,0,1.94912556506868
OLFML2B,76,0,1.8967386476691
PI3,77,4,2.52199708288704
