"Symbol","n","n_events","HR","HR_lo","HR_hi","pvalue","z","padj","pooled_log2FC","rem_padj","n_studies","Direction","Risk_aligned"
"OASL",177,93,1.34640038457948,1.17260286923451,1.5459573255003,2.46503202287085e-05,4.21797768973541,0.00103531344960576,1.96189524063754,0.0091001019358581,6,"Up","Up-High risk"
"OAS3",177,93,1.50616738289987,1.22994891679124,1.84441821472533,7.42397971869539e-05,3.96227230514872,0.00155903574092603,1.20822505046523,0.00810446718622185,7,"Up","Up-High risk"
"TGFBI",177,93,1.35898417223343,1.14721034800249,1.60985122178917,0.000386882204826957,3.54887396736299,0.0054163508675774,1.79363201551535,0.00191895129703299,7,"Up","Up-High risk"
"COL12A1",177,93,1.23248768593706,1.07229004346517,1.41661848419077,0.00325631147102519,2.94244545300363,0.0242283315886737,1.43466881887933,0.0254361024326723,7,"Up","Up-High risk"
"IFITM1",177,93,1.29915658909765,1.08875059520207,1.55022449625627,0.00369356434328701,2.90321206761218,0.0242283315886737,1.11186827848259,0.0407156378437548,7,"Up","Up-High risk"
"MX2",177,93,1.30991396840979,1.09139941645516,1.57217841494565,0.00374059600112422,2.89924741133347,0.0242283315886737,1.19087429612035,2.5187253448843e-05,7,"Up","Up-High risk"
"BST2",177,93,1.31189991489489,1.09025856711404,1.57859927783645,0.00403805526477895,2.87517350946086,0.0242283315886737,1.25417098216236,0.00402151332789454,7,"Up","Up-High risk"
"IFI44L",177,93,1.18249732214642,1.05287199690791,1.3280815911051,0.00465938690470191,2.82968489347506,0.0242653350661594,1.34058125573963,0.0458475796598676,7,"Up","Up-High risk"
"FN1",177,93,1.22107651350865,1.06145639746414,1.40470004741087,0.00519971465703415,2.79439361231132,0.0242653350661594,2.10972426775836,0.0205974801998174,7,"Up","Up-High risk"
"COL5A2",177,93,1.24383813347084,1.06394510484755,1.45414767663028,0.00618830260227672,2.73763334940053,0.0259908709295622,1.66783148150925,0.0157728505535056,7,"Up","Up-High risk"
"SERPINH1",177,93,1.34824285932564,1.08389170779812,1.67706680902218,0.00728726866068445,2.68342330931444,0.0260569039433534,1.28159931996588,0.0203147568408234,7,"Up","Up-High risk"
"THBS2",177,93,1.21334673879245,1.05312147401412,1.39794918712154,0.00744482969810098,2.67626255831228,0.0260569039433534,2.09946285639524,0.019037378709171,7,"Up","Up-High risk"
"MMP3",172,93,1.12720284252784,1.03004504587861,1.23352493494015,0.00922363289741856,2.6036521071717,0.0277011709490798,1.59539102047428,0.00261384773335724,4,"Up","Up-High risk"
"ISG15",177,93,1.19618086517522,1.04526137286484,1.36889078593776,0.00923372364969326,2.60327729503494,0.0277011709490798,1.65026294744614,0.0010044904609805,7,"Up","Up-High risk"
"COL3A1",177,93,1.2001673251391,1.04256680791426,1.38159166146213,0.011074471453792,2.54034011780846,0.0300575360311148,1.77977938041074,0.0141098768297937,7,"Up","Up-High risk"
"COL1A2",177,93,1.20342763652199,1.04128696837588,1.39081551995579,0.0121451657557822,2.50789818223918,0.0300575360311148,1.81322189209474,0.00972301426996475,7,"Up","Up-High risk"
"COL5A1",177,93,1.21725002897917,1.04384938094849,1.41945539279187,0.0121661455364036,2.50728824121259,0.0300575360311148,1.72433774916383,0.00525211670514461,7,"Up","Up-High risk"
"LUM",177,93,1.21290009225779,1.03456351725737,1.42197807022899,0.0173722422877585,2.37873324921295,0.0405352320047699,1.35240935604159,0.0253740423024816,7,"Up","Up-High risk"
"COL1A1",177,93,1.16685373219584,1.02332060649985,1.33051911951269,0.0212118730364926,2.30419191182987,0.0468894035543521,2.21993815042777,0.0175634483033176,7,"Up","Up-High risk"
